"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	5	0.170660881604999	0.0931930128717795	0.244104446001442	1.47209472612236	0.26867	0.23043	0.20857	0.25031	0.26254	0.13944	0.27338	-2.90538	-10.90886	0.181799722250419	0.20574	0.15111	0.1519	0.19117	0.20908	0.83247	0.12062	23.27714	-9.16978	0.240680659660327	0.27004	0.21353	0.20046	0.24964	0.26973	0.681	0.16645	12.97271	-2.2737
"mult"	5	0.0953694221563637	0.198059640650172	0.205607397463687	0.953789648053103	0.24139	0.28148	0.02362	0.18743	0.29411	0.04439	0.21797	4.34202	-9.58034	0.109796935039378	0.14567	0.14918	0.04001	0.07603	0.1381	0.51788	0.15483	15.2886	-15.52287	0.131511415360274	0.16722	0.17745	0.03728	0.09831	0.17729	0.45218	0.16504	13.24442	-12.10158
"mult"	5	0.121919989353046	0.0656387571361847	0.0414798885251575	4.09069865653182	0.04372	0.04276	0.04265	0.03829	0.03999	0.80212	0.08067	36.15117	-2.17279	0.125482226219213	0.13234	0.13122	0.12372	0.11702	0.12312	0.90776	0.05508	48.36272	-7.35889	0.15771674650241	0.16621	0.16305	0.16092	0.14575	0.15264	0.84733	0.07086	40.30121	-2.42113
"mult"	5	0.153186806302983	0.0539350499166176	0.0239700811901347	8.75777669144293	0.02044	0.02705	0.02363	0.02456	0.02417	0.88023	0.07846	37.03778	-7.59511	0.151570847044266	0.12741	0.17332	0.15137	0.15307	0.15269	0.94639	0.0525	49.89771	-6.20901	0.201127050601961	0.17112	0.22735	0.19871	0.20566	0.20279	0.90351	0.07043	40.49578	-6.25376
"mult"	5	0.458068709634244	0.218535984051414	0.249341333711665	6.32263132546976	0.25615	0.24216	0.25018	0.2357	0.26252	-0.3694	1.38051	-54.72459	-48.77525	0.435991070000511	0.4363	0.43039	0.43649	0.41597	0.46081	0.93973	0.28961	-4.75076	-3.03778	0.987336016721877	1.02103	0.95196	0.98488	0.93339	1.04542	0.60962	0.73709	-34.64465	-28.95004
"mult"	5	0.316176941606682	0.00295654032379389	0.260834825333159	3.34779045070459	0.26069	0.26063	0.26094	0.26084	0.26108	-0.11105	0.67278	-31.72346	-92.46145	0.31619501903168	0.31539	0.31545	0.31674	0.31606	0.31733	0.99998	0.00283	143.36616	-7.34789	0.553913544289577	0.55309	0.55318	0.55452	0.55377	0.555	0.72069	0.33733	-9.63181	-263.68919
"add"	5	0.429249087488279	0.142781984817702	0.0834783270740686	5.42192983185947	0.09731	0.05938	0.0954	0.08753	0.07777	0.83013	0.17841	10.75133	-5.82925	0.230772010255195	0.27538	0.15241	0.26867	0.23032	0.2271	0.20898	0.385	-13.86167	-21.24986	0.38432139637102	0.45059	0.26667	0.44217	0.39855	0.36364	0.7887	0.19898	7.25931	-9.23799
"add"	5	0.257342920615338	0.0623081151861697	0.0505178048135208	5.7314138464888	0.04507	0.05339	0.04709	0.0535	0.05355	0.86909	0.10853	26.65701	-2.20819	0.190639056642738	0.1669	0.20386	0.17551	0.20619	0.20073	0.94382	0.0711	40.19127	-21.25647	0.266350951979602	0.23658	0.2822	0.24788	0.28327	0.28183	0.91376	0.08809	33.33592	-3.4787
"add"	5	0.152509531762917	0.141033478081226	0.184014595009223	1.2353344424826	0.26094	0.17487	0.19196	0.18878	0.10353	0.45158	0.16091	14.05465	-3.09557	0.127723995546405	0.20869	0.13042	0.12372	0.11526	0.06052	0.72981	0.11295	25.38092	-11.33264	0.162211848602628	0.25199	0.16128	0.16301	0.1547	0.08008	0.70288	0.11844	23.86092	-7.35175
"add"	5	0.336917412199546	0.218268288241234	0.168065027030082	2.72855394563522	0.22725	0.16616	0.09642	0.1776	0.1729	0.50431	0.31171	-7.104	-5.79169	0.230412350897601	0.3288	0.27436	0.10268	0.2031	0.24312	0.76377	0.21518	4.75456	-14.86986	0.34310252966029	0.47602	0.37072	0.17489	0.33647	0.35742	0.73456	0.2281	2.88901	-7.77112
"add"	5	0.399590399640147	0.136665435449686	0.289335673136616	2.3885416062307	0.31088	0.29809	0.25537	0.28657	0.29577	0.43444	0.34663	-10.50231	-16.64152	0.24984757605956	0.28424	0.22912	0.24269	0.23785	0.25534	0.67638	0.26221	-1.57072	-20.77994	0.41330532755602	0.45616	0.39883	0.37948	0.40325	0.4288	0.91683	0.13293	20.1677	-7.08876
"add"	5	0.0532824221183546	0.0934141782927327	0.120641659096522	0.582134988811713	0.11623	0.14934	0.02999	0.1098	0.19785	0.16421	0.11977	23.50289	-23.28909	0.0463096024081456	0.03998	0.07533	-0.00346	0.04362	0.07608	0.23283	0.11475	24.8735	-18.89975	0.0517088212294975	0.04489	0.07949	-0.00029	0.04997	0.08449	0.23407	0.11466	24.89944	-19.06785
"add"	5	0.0655735504231416	0.153944900841452	0.103411717314266	0.753903647792816	0.08976	0.14278	0.23087	0.07746	-0.0238	0.06901	0.15998	14.24009	-26.28626	0.0451265541201678	0.02805	0.07961	0.10448	0.01833	-0.00484	-0.12009	0.17548	11.28144	-30.61114	0.0527656550223703	0.03552	0.08749	0.12251	0.02539	-0.00709	-0.03902	0.16901	12.48356	-28.78362
"add"	5	0.0974582704831846	0.0129473371780477	0.0137223580379041	7.20381161100506	0.0127	0.01432	0.01351	0.01318	0.0149	0.98694	0.01184	97.55575	-1.15943	0.0824254391393467	0.07621	0.08606	0.08115	0.07891	0.08979	0.96503	0.01937	81.80417	-18.79103	0.0963859026673661	0.08921	0.10059	0.09488	0.09252	0.10472	0.9893	0.01072	100.74422	-2.8363
"add"	5	0.253230261977296	0.055559283006005	0.0421639057102191	6.40958859600875	0.03704	0.04311	0.04405	0.04357	0.04305	0.97814	0.03908	59.34216	-3.99305	0.174427318472824	0.15131	0.17788	0.18063	0.18308	0.17924	0.74562	0.1333	20.07853	-28.3519	0.249504829137126	0.2183	0.25502	0.26034	0.25875	0.25511	0.97691	0.04016	58.47118	-4.27522
"add"	5	0.488403212104458	0.219031117856503	0.0735613277073585	7.13317054311551	0.07764	0.07129	0.08061	0.06593	0.07235	0.81668	0.21946	4.125	-8.49545	0.259677834770918	0.27879	0.2491	0.28965	0.22032	0.26052	0.18339	0.46318	-19.77769	-23.92149	0.456417414746812	0.48247	0.44215	0.50287	0.4041	0.4505	0.78866	0.23563	1.8494	-11.43336
