"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	3	-0.1351192703587	0.0868849297403358	-0.256449506020094	0.507252782919424	-0.30578	-0.26282	-0.20074	0.76667	0.07743	10.11601	-1.8612	-0.191380353985856	-0.19982	-0.20552	-0.16881	0.61596	0.09933	8.12295	-0.59757	-0.159555024811523	-0.17737	-0.16848	-0.13281	0.73063	0.08319	9.54158	-0.92483
"stick"	3	-0.492010214622132	0.0292449070839211	-0.451058574094179	1.11631382052	-0.44414	-0.45965	-0.44938	0.99938	0.01629	22.58654	-2.54071	-0.240203850382842	-0.23258	-0.25361	-0.23441	-1.02431	0.92874	-9.76014	-4.8522	-0.705317313991013	-0.69754	-0.71322	-0.70519	0.902	0.20435	2.35182	-15.50047
"stick"	3	-0.209601926233154	0.017196525936015	-0.204050746033606	1.06840637625925	-0.22022	-0.18925	-0.20268	0.99826	0.00899	27.33814	-2.50721	-0.360657564003382	-0.37954	-0.34636	-0.35607	0.63176	0.13077	5.9233	-11.95075	-0.255248345711605	-0.27399	-0.23901	-0.25274	0.96998	0.03733	15.95117	-9.23897
"stick"	3	-0.46873087415006	0.185266322921962	-0.227656439188003	2.57045379912842	-0.29321	-0.26275	-0.12701	0.89415	0.22914	1.4358	-2.02412	-0.184363540011701	-0.34427	-0.20309	-0.00573	-0.97752	0.99041	-10.27443	-3.54103	-0.686852806763007	-0.84134	-0.7816	-0.43762	0.86532	0.25847	0.47237	-1.2853
"stick"	3	-0.193378038087394	0.129263548122253	-1.1004321150281	0.1	-1.41256	-0.64705	-1.24169	0.13481	0.18109	3.31838	-4.48779	-0.258313943489794	-0.29738	-0.2497	-0.22786	0.73547	0.10014	8.05833	-3.77218	-0.209086018141041	-0.24805	-0.17602	-0.20319	0.75392	0.09658	8.34752	-3.7439
"stick"	3	-0.349493820150383	0.13313571375329	-0.247074513488102	1.28598567360057	-0.26448	-0.17618	-0.30056	0.96194	0.06869	11.07426	-1.57242	-0.43471799976189	-0.45493	-0.33843	-0.51079	0.68971	0.19611	2.6811	-9.92138	-0.382122517206527	-0.40068	-0.28252	-0.46317	0.92727	0.09495	8.48403	-1.66416
"stick"	3	-0.381262784765568	0.0635172202019021	-0.390604399108147	0.957059017419368	-0.44741	-0.43147	-0.29293	0.93971	0.1163	6.86102	-3.99458	-0.571036801322115	-0.57293	-0.59514	-0.54504	0.4763	0.34276	-1.78579	-6.31418	-0.501018103758278	-0.54739	-0.53686	-0.41881	0.86299	0.17532	3.57754	-3.97501
"stick"	3	-0.16001710719429	0.0335987551952712	-0.0375381118005005	4.64986797811614	-0.03865	-0.03685	-0.03711	0.98326	0.01751	22.00976	-0.77818	-0.218658321412109	-0.22246	-0.21567	-0.21784	0.89802	0.04321	14.78213	-4.20197	-0.179940732773021	-0.185	-0.17672	-0.1781	0.9819	0.0182	21.69839	-0.93185
"stick"	3	-0.261413710704073	0.087147936807014	-0.267629552567152	0.875661283100485	-0.18521	-0.26413	-0.35355	0.96885	0.04561	14.35022	-2.71161	-0.462536591522659	-0.40739	-0.45992	-0.52031	0.28432	0.2186	1.81252	-6.9715	-0.285850246260109	-0.2125	-0.28225	-0.3628	0.92901	0.06885	11.05554	-3.06344
"stick"	3	-0.446959559596144	0.212276208214462	-0.222066952164971	2.51360569553403	-0.19021	-0.28713	-0.18886	0.99504	0.04091	15.21981	-0.95099	-0.263684409447033	-0.20358	-0.38932	-0.19815	-1.0526	0.83237	-8.88367	-3.70884	-0.659153055045052	-0.57413	-0.83176	-0.57157	0.96534	0.10816	7.44184	-4.52201
"stick"	3	-0.343785170034971	0.145176490419544	-0.193376665046202	1.88748511853005	-0.22599	-0.15792	-0.19622	0.99969	0.00635	30.12539	-2.52136	-0.480640212799719	-0.54593	-0.40271	-0.49329	0.65677	0.20974	2.14359	-7.58271	-0.423455830541752	-0.48899	-0.35174	-0.42963	0.97452	0.05715	12.54552	-14.16983
"stick"	3	-0.139368725009263	0.0739014470018446	-0.482814348604596	0.237663350396917	-0.57877	-0.26374	-0.60593	0.94403	0.03955	15.48967	-1.2768	-0.188845160181157	-0.22221	-0.13076	-0.21356	0.72262	0.08805	9.08711	-3.7032	-0.159795274484901	-0.19019	-0.10242	-0.18677	0.85423	0.06383	11.66052	-1.60429
"stick"	3	-0.46076015875442	0.14927137416089	-0.398897532955873	1.34237940610233	-0.36339	-0.51276	-0.32055	0.92455	0.19879	2.5726	-1.73089	-0.177704276914622	-0.14834	-0.31442	-0.07036	-1.0366	1.03278	-10.60951	-5.02686	-0.713154881972979	-0.65306	-0.85149	-0.63492	0.85145	0.27893	-0.13705	-1.27203
"stick"	3	-0.12555507774232	0.185531903174706	-0.696159059982104	0.157201409211607	-1.54922	0.07216	-0.61142	0.33968	0.12419	6.33599	-4.81956	-0.137530356730869	-0.29269	-0.01843	-0.10147	0.81069	0.0665	11.33322	-9.0097	-0.129607787492072	-0.27927	-0.00964	-0.09991	0.76338	0.07434	10.441	-7.96234
"stick"	3	-0.491725197643973	0.194081819092389	-0.757393931924724	0.568943375659178	-0.81761	-0.76703	-0.68753	0.99071	0.07257	10.63413	-2.59255	-0.203758138477149	-0.21657	-0.23371	-0.161	-0.85356	1.0248	-10.54748	-5.93608	-0.741439173533246	-0.78907	-0.72694	-0.7083	0.80357	0.33361	-1.56933	-10.62174
"stick"	3	-0.39499874698231	0.0765303691732697	-0.466667363893029	0.805069314719979	-0.49386	-0.51216	-0.39398	0.99407	0.03806	15.79714	-4.95372	-0.634471158291859	-0.65164	-0.66769	-0.58408	0.43782	0.37072	-2.41311	-6.82342	-0.531471510213568	-0.5537	-0.57007	-0.47065	0.89337	0.16145	4.23688	-10.42605
"stick"	3	-0.135353823564947	0.163475687033497	-0.13428947794303	0.981473886014731	-0.10527	0.01417	-0.31177	0.87231	0.06479	11.54087	-0.777	-0.158177092041279	-0.13998	9e-04	-0.33545	0.82633	0.07556	10.31078	-0.19455	-0.14070027232108	-0.11565	0.01182	-0.31827	0.86616	0.06633	11.3529	-0.48253
"stick"	3	-0.351619678456336	0.248726065561641	-1.70250939170102	0.1	-1.68371	-1.33453	-2.08929	-0.30427	0.38522	-2.72005	-6.96437	-0.587065082976928	-0.33056	-0.7071	-0.72354	0.40633	0.2599	0.42824	-5.43365	-0.444673868300204	-0.43406	-0.33349	-0.56648	0.90815	0.10223	7.89279	-2.19406
"stick"	3	-0.294294429582078	0.017952922382392	-0.352090399029528	0.795926848247625	-0.33432	-0.35479	-0.36716	0.99929	0.00868	27.62123	-1.35569	-0.347110252586142	-0.33235	-0.34843	-0.36055	0.62362	0.19931	2.55181	-8.83342	-0.366331996679417	-0.35042	-0.36766	-0.38091	0.93089	0.08541	9.33108	-13.48193
"stick"	3	-0.227184379228856	0.000250157550908625	-0.227077070578931	1.00089605493524	-0.22702	-0.22703	-0.22719	1	0.00022	57.03861	-2.2096	-0.404469677312803	-0.40445	-0.40445	-0.40451	0.50612	0.16118	4.25053	-11.19315	-0.27090880638054	-0.27086	-0.27087	-0.27101	0.9658	0.04242	14.93041	-31.90688
"stick"	3	-0.425391268671956	0.124757945013698	-0.263102721163292	1.90404392577803	-0.24295	-0.29875	-0.2476	0.96808	0.09774	8.25185	-2.92161	-0.229778148281406	-0.24949	-0.27034	-0.1695	-1.10258	0.79323	-8.49835	-5.13438	-0.612676521247627	-0.5563	-0.68712	-0.59461	0.92609	0.14873	4.8937	-3.0838
"stick"	3	-0.281394287070725	0.0835885794949718	-0.792092564435298	0.275567507186908	-0.8262	-0.79765	-0.75243	0.98651	0.04583	14.3114	-4.43685	-0.31441080002698	-0.32202	-0.32753	-0.29368	0.50067	0.27877	-0.1325	-9.26209	-0.385197202197699	-0.39169	-0.40172	-0.36217	0.78944	0.18102	3.32149	-9.11058
"stick"	3	-0.418958483834285	0.0549344093888067	-0.370276671933562	1.20136960082187	-0.42158	-0.30661	-0.38264	0.99865	0.01945	21.16638	-2.58034	-0.569976746416965	-0.25896	-0.71222	-0.73875	0.20736	0.4711	-4.33005	-5.66911	-0.587595207656586	-0.655	-0.50132	-0.60647	0.92681	0.14315	5.19936	-13.86838
