"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"s.hats.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"w.hats.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	-0.332895523391198	0.2428723431658	-0.441854510371144	0.730527006201807	-0.2858	-0.47627	-0.51406	-0.48635	-0.44678	0.79057	0.35566	-11.32508	-14.44935	-0.135248116371969	-0.02957	-0.04634	-0.20894	-0.15074	-0.24064	-1.00253	1.09977	-47.44927	-21.38314	-0.619487241222091	-0.53273	-0.6731	-0.66492	-0.66486	-0.56182	0.53018	0.53269	-24.25219	-4.77787
"stick"	5	-0.485663823212963	0.15906730783172	-0.479584996324361	1.03330291873058	-0.4883	-0.54348	-0.40171	-0.48894	-0.47548	0.98704	0.15313	15.64155	-10.98103	-0.0732537521406821	-0.07142	-0.09972	-0.02129	-0.0928	-0.08104	-1.90492	2.29211	-70.94913	-1.81762	-1.11904336917248	-1.1277	-1.22754	-1.04192	-1.11054	-1.08752	0.52669	0.92521	-41.91862	-65.88536
"stick"	5	-0.325511349062435	0.157752754399553	-0.347130750725142	0.909296237897419	-0.3864	-0.29981	-0.35136	-0.40103	-0.29705	0.96644	0.12677	21.68567	-4.1811	-0.276787292461218	-0.23575	-0.27778	-0.21525	-0.39566	-0.2595	-0.43451	0.82882	-38.39806	-4.98879	-0.580826806696445	-0.62245	-0.51874	-0.59434	-0.65134	-0.51726	0.66505	0.40049	-15.12423	-21.16147
"stick"	5	-0.0965854373411275	0.188125774322543	-0.23146101932911	0.10117117530867	-0.11272	-0.03518	-0.4684	-0.30085	-0.24015	-1.61775	0.27129	-2.65998	-36.08218	-0.0880629528955793	-0.08254	-0.04895	-0.13602	-0.12689	-0.04591	-0.17733	0.18194	10.12506	-25.27112	-0.0588385311126242	-0.04606	-0.0183	-0.10725	-0.08363	-0.03894	-0.60458	0.2124	5.1713	-27.42842
"stick"	5	-0.45108979822835	0.218173109577037	-0.468744667955289	0.925418474948997	-0.46114	-0.50067	-0.42062	-0.546	-0.41529	0.97763	0.17687	11.02931	-4.3035	-0.189053231154538	-0.04449	-0.24877	-0.19762	-0.13947	-0.31491	-1.2084	1.75733	-62.44755	-3.18046	-0.972583911889575	-0.94833	-1.01282	-0.92175	-1.10436	-0.87565	0.52155	0.81796	-37.97607	-37.39071
"stick"	5	-0.267791936686262	0.145238224300556	-0.324629676301597	0.758326681190502	-0.34943	-0.3611	-0.29283	-0.32282	-0.29697	0.93843	0.13034	20.7963	-6.80548	-0.337208885281283	-0.22741	-0.4189	-0.34096	-0.37307	-0.3257	0.1923	0.47212	-20.38912	-4.88599	-0.439983188168619	-0.46054	-0.45952	-0.42229	-0.45446	-0.4031	0.65261	0.30962	-6.88906	-13.92941
"stick"	5	-0.0805704383761622	0.114941510313656	-0.241975947277635	0.347360880501882	-0.36373	-0.15256	-0.22622	-0.23401	-0.23336	0.54338	0.11628	24.45125	-19.87612	-0.141360938958218	-0.20081	-0.10321	-0.1379	-0.11835	-0.14653	0.33013	0.14083	18.31975	-10.49759	-0.115064815362648	-0.16659	-0.08013	-0.11037	-0.10167	-0.11656	0.4674	0.12558	21.98875	-13.98428
"stick"	5	-0.152759962284472	0.0474499760312028	-0.128512365899163	1.20684179912186	-0.10557	-0.132	-0.12533	-0.13143	-0.14823	0.96611	0.04055	58.16401	-6.40075	-0.284314599159639	-0.25012	-0.29948	-0.27973	-0.28005	-0.3122	0.6363	0.13282	20.19348	-33.59415	-0.19578653600252	-0.1649	-0.2036	-0.19125	-0.19759	-0.22159	0.90567	0.06764	41.78677	-4.5136
"stick"	5	-0.43050478490768	0.239017255196813	-0.554569180374788	0.703477839918561	-0.51557	-0.65545	-0.32432	-0.6786	-0.59891	0.95062	0.25557	-0.7499	-11.63448	-0.218077563739124	-0.16446	-0.13864	-0.2182	-0.16551	-0.40358	-0.95156	1.60665	-59.57883	-3.92255	-0.936383161585049	-0.91808	-1.05748	-0.72345	-1.03849	-0.9444	0.48418	0.826	-38.28874	-31.20324
"stick"	5	-0.116371424263343	0.0236925831413828	-0.102561631049975	1.18723128267685	-0.10487	-0.10707	-0.09954	-0.10135	-0.09999	0.9888	0.01709	85.80362	-7.0556	-0.211980560103714	-0.21489	-0.21943	-0.20357	-0.21501	-0.20701	0.58023	0.10467	27.81669	-50.11429	-0.146927945998887	-0.14983	-0.153	-0.14215	-0.14667	-0.143	0.94634	0.03742	60.72867	-11.0763
"stick"	5	-0.159606318711303	0.15045832976466	-0.111580611852476	1.54247966721677	-0.13088	-0.1285	-0.05956	-0.11559	-0.12337	0.78565	0.1268	21.6788	-0.57978	-0.335449423011473	-0.33744	-0.36508	-0.28579	-0.35395	-0.33499	0.38461	0.21485	4.80477	-25.85147	-0.218564824186854	-0.25203	-0.25051	-0.1223	-0.22819	-0.2398	0.71648	0.14583	17.20414	-2.70001
"stick"	5	-0.469170456356369	0.0552597437053919	-0.454474538996878	1.05398207971398	-0.46621	-0.44474	-0.45873	-0.46358	-0.43911	0.99791	0.05734	47.0755	-1.86391	-0.0757766421378696	-0.09569	-0.07222	-0.06268	-0.07259	-0.07571	-1.93511	2.14874	-68.88219	-1.2957	-1.05195738443745	-1.06405	-1.03412	-1.06811	-1.07324	-1.02026	0.54382	0.84711	-39.0964	-108.24776
"stick"	5	-0.371936812018976	0.066906062013004	-0.377777198300246	0.987683070316068	-0.40608	-0.37093	-0.36435	-0.3788	-0.36872	0.99518	0.0584	46.48601	-4.91007	-0.353185156916599	-0.39295	-0.32865	-0.3422	-0.35765	-0.34447	-0.52781	1.03971	-45.65212	-7.48019	-0.72001416517651	-0.75868	-0.71483	-0.70815	-0.7115	-0.70691	0.64725	0.49959	-22.19902	-74.0798
"stick"	5	-0.174788957810961	0.18799142644275	-0.265534045406819	0.732637792081393	-0.37954	-0.25192	-0.08975	-0.40642	-0.20004	0.60927	0.22747	2.97797	-10.05612	-0.222462619795469	-0.26502	-0.24833	-0.04258	-0.35997	-0.19642	0.59972	0.23023	2.59169	-19.12262	-0.273066285712107	-0.36654	-0.26209	-0.14176	-0.37647	-0.21847	0.43747	0.27293	-2.85281	-2.63865
"stick"	5	-0.454816465091426	0.127439802454319	-0.427016792685958	1.12112185851822	-0.44109	-0.39503	-0.4438	-0.41037	-0.44479	0.99006	0.11861	23.81504	-3.89483	-0.107319528155581	-0.09559	-0.1568	-0.09051	-0.04423	-0.14946	-1.82046	1.99766	-66.54928	-1.44705	-1.00153481734131	-1.01499	-0.94615	-1.01417	-0.98305	-1.04931	0.58264	0.76845	-35.97786	-55.73728
"stick"	5	-0.479947706917301	0.00494485761737451	-0.479616829776577	1.0009964527219	-0.48154	-0.47722	-0.48013	-0.48046	-0.47873	0.99999	0.00491	125.73103	-6.69119	-0.0742286175817543	-0.07483	-0.07264	-0.07476	-0.07572	-0.0732	-1.88533	2.22806	-70.04225	-2.54085	-1.0958913773415	-1.09903	-1.09323	-1.09587	-1.09658	-1.09474	0.51617	0.91238	-41.47167	-303.17605
"stick"	5	-0.322268168709707	0.172936603659764	-0.391778687954901	0.796787758346517	-0.38698	-0.26899	-0.51054	-0.42772	-0.36466	0.95193	0.15817	14.60557	-11.81719	-0.314776049317653	-0.27557	-0.25109	-0.43703	-0.32223	-0.28796	-0.27819	0.81557	-37.88227	-5.11004	-0.59859082423035	-0.58605	-0.51528	-0.73769	-0.61523	-0.5387	0.63271	0.43719	-17.92957	-21.43319
"stick"	5	-0.395710393611807	0.00735221884679049	-0.397435651989569	0.994302947413676	-0.39647	-0.3998	-0.39791	-0.3938	-0.3992	0.99994	0.00693	114.6728	-2.46402	-0.46816314368067	-0.46217	-0.47299	-0.47422	-0.45114	-0.4803	-0.42585	1.1101	-47.74854	-4.39909	-0.791338656558136	-0.79062	-0.79457	-0.79277	-0.78516	-0.79358	0.61784	0.57471	-26.68171	-226.41219
"stick"	5	-0.0633431316469796	0.141224664519541	-0.215090471745101	0.293656077602215	-0.23479	-0.11933	0.006	-0.23454	-0.4928	0.37603	0.11641	24.41548	-31.86677	-0.0839718352838007	-0.08261	-0.05738	-0.01974	-0.07782	-0.18231	0.47694	0.10658	27.23787	-24.34106	-0.075137826942476	-0.07629	-0.04519	-0.01675	-0.07195	-0.16551	0.47088	0.10719	27.05371	-26.53943
"stick"	5	-0.29075287275482	0.10221229866147	-0.317225982655649	0.888592735736645	-0.32332	-0.37241	-0.30717	-0.26685	-0.31638	0.9619	0.10867	26.61718	-14.20271	-0.208449351201277	-0.20789	-0.25095	-0.23336	-0.15966	-0.19039	-0.5482	0.69271	-32.65724	-15.33442	-0.478235296736462	-0.47639	-0.54017	-0.46272	-0.43422	-0.47768	0.7413	0.28316	-4.03015	-11.6613
