"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"44"	"max"	"0.19819"	"0.05543"	"0.39996"	"-6.5325"	"0.13595"	"3.30605"
"2"	"0.1"	"0.1"	"1"	"45"	"max"	"0.25772"	"0.23738"	"0.4861"	"0.17295"	"0.07819"	"5.51859"
"2"	"0.1"	"0.1"	"1"	"46"	"max"	"0.21592"	"-1.19294"	"0.85837"	"-24.34503"	"0.33728"	"-0.32844"
"2"	"0.1"	"0.1"	"1"	"47"	"max"	"0.18895"	"0.43652"	"0.40317"	"-0.15485"	"0.05196"	"7.15309"
"2"	"0.1"	"0.1"	"1"	"48"	"max"	"0.22871"	"0.09114"	"-0.1401"	"-0.58871"	"0.18881"	"1.9923"
"2"	"0.1"	"0.1"	"1"	"49"	"max"	"0.1818"	"0.40256"	"-0.06496"	"0.22462"	"0.09267"	"4.8392"
"2"	"0.1"	"0.1"	"1"	"50"	"max"	"0.1661"	"0.2756"	"0.36097"	"-0.11468"	"0.05782"	"6.72582"
"2"	"0.1"	"0.1"	"1"	"51"	"max"	"0.25198"	"0.55478"	"-0.05645"	"0.61253"	"0.08802"	"5.04496"
"2"	"0.1"	"0.1"	"1"	"52"	"max"	"0.20473"	"0.63977"	"-0.22702"	"-18.11417"	"0.17896"	"2.20663"
"2"	"0.1"	"0.1"	"1"	"53"	"max"	"0.17758"	"0.13536"	"0.04405"	"-1.43371"	"0.12128"	"3.76271"
"2"	"0.1"	"0.1"	"1"	"54"	"max"	"0.18831"	"0.10374"	"0.57374"	"-19.81838"	"0.12335"	"3.69509"
"2"	"0.1"	"0.1"	"1"	"55"	"max"	"0.28864"	"0.95232"	"0.04183"	"0.9933"	"0.01272"	"12.7817"
"2"	"0.1"	"0.1"	"1"	"56"	"max"	"0.09079"	"-0.32506"	"0.36907"	"0.37472"	"0.05581"	"6.86713"
"2"	"0.1"	"0.1"	"1"	"57"	"max"	"0.16735"	"-0.43292"	"0.59768"	"-6.22268"	"0.1717"	"2.37226"
"2"	"0.1"	"0.1"	"1"	"58"	"max"	"0.20572"	"-0.03373"	"0.07583"	"-0.42822"	"0.13909"	"3.21477"
"2"	"0.1"	"0.1"	"1"	"59"	"max"	"0.24089"	"0.24348"	"0.00961"	"-0.13333"	"0.12872"	"3.52462"
"2"	"0.1"	"0.1"	"1"	"60"	"max"	"0.32945"	"0.98309"	"-0.13225"	"0.99395"	"0.01781"	"11.43601"
"2"	"0.1"	"0.1"	"1"	"61"	"max"	"0.24043"	"0.69869"	"0.16578"	"0.60411"	"0.06566"	"6.21746"
"2"	"0.1"	"0.1"	"1"	"62"	"max"	"0.13557"	"0.14813"	"-0.07816"	"-0.28559"	"0.08836"	"5.02968"
"2"	"0.1"	"0.1"	"1"	"63"	"max"	"0.29659"	"0.15926"	"0.0438"	"-0.73843"	"0.1839"	"2.0977"
"2"	"0.1"	"0.1"	"1"	"64"	"max"	"0.13296"	"0.43962"	"0.32786"	"-1.35101"	"0.05997"	"6.57966"
"2"	"0.1"	"0.1"	"1"	"65"	"max"	"0.35067"	"0.14378"	"-0.11872"	"-0.09545"	"0.21949"	"1.39005"
"2"	"0.1"	"0.1"	"1"	"66"	"max"	"0.22231"	"0.59436"	"0.93465"	"0.40765"	"0.02474"	"10.12208"
"2"	"0.1"	"0.1"	"1"	"67"	"max"	"0.07947"	"0.37413"	"0.42142"	"-0.1365"	"0.02299"	"10.41472"
"2"	"0.1"	"0.1"	"1"	"68"	"max"	"0.2747"	"0.14087"	"0.05745"	"-1.49956"	"0.18558"	"2.06136"
"2"	"0.1"	"0.1"	"1"	"69"	"max"	"0.4498"	"-0.52319"	"0.61935"	"-5.56758"	"0.49314"	"-1.84789"
"2"	"0.1"	"0.1"	"1"	"70"	"max"	"0.37194"	"0.08867"	"-0.18913"	"-0.35969"	"0.28662"	"0.32261"
"2"	"0.1"	"0.1"	"1"	"71"	"max"	"0.2389"	"0.11374"	"0.39495"	"-6.27515"	"0.15547"	"2.76933"
"2"	"0.1"	"0.1"	"1"	"72"	"max"	"0.18911"	"0.13455"	"0.04645"	"-0.78982"	"0.1195"	"3.82197"
"2"	"0.1"	"0.1"	"1"	"73"	"max"	"0.19215"	"0.21993"	"-0.21216"	"0.19119"	"0.11536"	"3.96295"
"2"	"0.1"	"0.1"	"1"	"74"	"max"	"0.26694"	"-0.12809"	"0.56436"	"-13.51968"	"0.21528"	"1.46759"
"2"	"0.1"	"0.1"	"1"	"75"	"max"	"0.24275"	"0.54162"	"0.20009"	"0.36483"	"0.06941"	"5.9954"
"2"	"0.1"	"0.1"	"1"	"76"	"max"	"0.27208"	"-0.19719"	"0.44675"	"0.47462"	"0.13211"	"3.42079"
"2"	"0.1"	"0.1"	"1"	"77"	"max"	"0.22578"	"0.15295"	"0.28488"	"-0.14635"	"0.09889"	"4.57939"
"2"	"0.1"	"0.1"	"1"	"78"	"max"	"0.32282"	"-0.13815"	"0.60295"	"-17.66825"	"0.26264"	"0.67206"
"2"	"0.1"	"0.1"	"1"	"79"	"max"	"0.24836"	"-0.02718"	"0.13449"	"-1.24615"	"0.18072"	"2.16742"
"2"	"0.1"	"0.1"	"1"	"80"	"max"	"0.28316"	"0.23627"	"-0.1581"	"0.10287"	"0.16746"	"2.47236"
"2"	"0.1"	"0.1"	"1"	"81"	"max"	"0.30442"	"0.40391"	"0.31017"	"-4.10583"	"0.16137"	"2.62039"
"2"	"0.1"	"0.1"	"1"	"82"	"max"	"0.1982"	"-0.11634"	"0.79567"	"0.89857"	"0.0428"	"7.92865"
"2"	"0.1"	"0.1"	"1"	"83"	"max"	"0.34933"	"0.38453"	"0.34068"	"-0.13465"	"0.10981"	"4.16031"
"2"	"0.1"	"0.1"	"1"	"84"	"max"	"0.25727"	"0.4424"	"-0.08698"	"0.40743"	"0.11353"	"4.02712"
"2"	"0.1"	"0.1"	"1"	"85"	"max"	"0.1829"	"0.39886"	"0.17898"	"0.05254"	"0.06692"	"6.14115"
"2"	"0.1"	"0.1"	"1"	"86"	"max"	"0.17234"	"0.00233"	"0.13515"	"-0.55752"	"0.1087"	"4.20108"
"2"	"0.1"	"0.1"	"1"	"87"	"max"	"0.24708"	"0.00876"	"0.45084"	"0.35654"	"0.0983"	"4.60326"
"2"	"0.1"	"0.1"	"1"	"88"	"max"	"0.14742"	"0.80746"	"0.72944"	"-2.11346"	"0.01843"	"11.30034"
"2"	"0.1"	"0.1"	"1"	"89"	"max"	"0.13026"	"0.20613"	"-0.05594"	"-1.78393"	"0.09758"	"4.63238"
"2"	"0.1"	"0.1"	"1"	"90"	"max"	"0.30656"	"0.24154"	"0.20781"	"-0.21286"	"0.13331"	"3.38466"
"2"	"0.1"	"0.1"	"1"	"91"	"max"	"0.27538"	"0.05446"	"0.72727"	"0.82817"	"0.05649"	"6.81896"
"2"	"0.1"	"0.1"	"1"	"92"	"max"	"0.33246"	"-0.00386"	"0.26551"	"-0.07392"	"0.17508"	"2.29428"
"2"	"0.1"	"0.1"	"1"	"93"	"max"	"0.20798"	"0.51089"	"0.36461"	"-0.00975"	"0.054"	"6.9994"
"2"	"0.1"	"0.1"	"1"	"94"	"max"	"0.0836"	"-0.2984"	"-0.22665"	"-0.91654"	"0.09508"	"4.73656"
"2"	"0.1"	"0.1"	"1"	"95"	"max"	"0.24778"	"0.68628"	"-0.2925"	"-22.44206"	"0.22779"	"1.24165"
"2"	"0.1"	"0.1"	"1"	"96"	"max"	"0.19123"	"-0.09793"	"-0.01036"	"-0.13025"	"0.1372"	"3.26943"
"2"	"0.1"	"0.1"	"1"	"97"	"max"	"0.36372"	"-0.08979"	"0.24058"	"-0.06718"	"0.21468"	"1.47867"
"2"	"0.1"	"0.1"	"1"	"98"	"max"	"0.16396"	"0.46009"	"0.04002"	"0.35078"	"0.06238"	"6.42223"
"2"	"0.1"	"0.1"	"1"	"99"	"max"	"0.15449"	"0.35894"	"0.15749"	"-0.64597"	"0.07945"	"5.45498"
"2"	"0.1"	"0.1"	"1"	"100"	"max"	"0.29374"	"0.16925"	"0.55113"	"0.42757"	"0.08473"	"5.19742"
