"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.340680729143787	0.0857389773591422	-0.323230348449543	1.03316185067633	-0.32336	-0.3163	-0.33473	-0.31853	0.98422	0.06635	21.70102	-3.69344	-0.395729015020574	-0.38094	-0.39073	-0.41222	-0.39902	0.1516	0.48651	-10.17509	-1.96708	-0.506158379722646	-0.50604	-0.49869	-0.53299	-0.48691	0.84012	0.21119	3.17656	-16.9584
"stick"	4	-0.189514504279941	0.22331952478271	-0.188227918624651	1.07942787848056	-0.15512	-0.00373	-0.34482	-0.24925	0.68123	0.20415	3.71949	-5.70097	-0.493399518780681	-0.4629	-0.35515	-0.68337	-0.47218	-0.33397	0.41762	-7.73215	-6.06803	-0.243995995032464	-0.20374	-0.03638	-0.44062	-0.29525	0.63588	0.21819	2.65529	-5.874
"stick"	4	-0.210826923151035	0.00241484894650057	-0.208794564479924	1.01166165290196	-0.2082	-0.20745	-0.20964	-0.20989	0.99988	0.00297	71.40409	-0.52314	-0.375063999532394	-0.37431	-0.37344	-0.37616	-0.37634	0.69437	0.15167	8.47368	-23.44946	-0.27640521637507	-0.27574	-0.27483	-0.2774	-0.27766	0.92862	0.0733	20.10876	-58.77408
"stick"	4	-0.214325881574769	0.0180673990398645	-0.229035198011258	0.912295442635396	-0.22792	-0.2273	-0.22776	-0.23315	0.99523	0.01934	41.42468	-1.15047	-0.3916312529396	-0.39446	-0.39062	-0.38786	-0.39358	0.63841	0.16836	6.80324	-25.04263	-0.280994748827179	-0.28127	-0.27953	-0.2788	-0.28438	0.90984	0.08407	17.91494	-19.09731
"stick"	4	-0.160623030783609	0.119536922313273	-0.753147724718565	0.1	-0.64104	-0.84631	-0.61579	-0.90945	0.12736	0.19884	4.141	-15.4577	-0.331514955174687	-0.34343	-0.33043	-0.31095	-0.34126	0.37473	0.16831	6.80779	-2.38176	-0.200567372535028	-0.19597	-0.20459	-0.18578	-0.21593	0.7616	0.10393	14.52161	-4.0213
"stick"	4	-0.40380697575165	0.129161095595919	-0.410529707470046	1.013178893976	-0.4029	-0.42149	-0.47404	-0.34369	0.98662	0.08488	17.76105	-2.60094	-0.326877618656287	-0.43883	-0.43759	-0.12363	-0.30747	-0.48177	0.89339	-19.8993	-2.3863	-0.688958327024441	-0.68315	-0.69488	-0.77092	-0.60689	0.79568	0.33175	-4.04882	-17.59661
"stick"	4	-0.0719627095502801	0.0383741497644223	-0.408543008062514	0.1	-0.30645	-0.26857	-0.54776	-0.51139	0.59543	0.04771	26.9778	-10.97901	-0.0760665320438277	-0.06188	-0.04916	-0.09437	-0.09885	0.79241	0.03418	32.31586	-2.81714	-0.0686325505764799	-0.05497	-0.04414	-0.08642	-0.08899	0.80289	0.0333	32.73032	-4.09842
"stick"	4	-0.30153110253159	0.23581436224049	-0.208653812716658	1.64050491916036	-0.25459	-0.17559	-0.19826	-0.20618	0.89933	0.15147	8.49519	-3.80851	-0.317974140659779	-0.42253	-0.37685	-0.2505	-0.22201	-0.0061	0.47884	-9.92064	-5.36976	-0.44880053513615	-0.53212	-0.36725	-0.44609	-0.44975	0.83385	0.19459	4.48694	-3.27531
"stick"	4	-0.368435086938553	0.0421869033598341	-0.381659032448177	0.962612788002503	-0.39702	-0.38085	-0.3901	-0.35866	0.99151	0.05719	24.07819	-3.13584	-0.545472176670022	-0.61262	-0.59124	-0.50269	-0.47533	0.1856	0.56018	-12.431	-2.11364	-0.588261585418876	-0.60305	-0.58217	-0.6046	-0.56323	0.82074	0.26281	-0.32195	-21.87447
"stick"	4	-0.292679978953674	0.0818268295261078	-0.285191370569255	1.05682216516601	-0.25386	-0.36104	-0.28723	-0.23863	0.96854	0.07901	18.90838	-6.25392	-0.311188854217919	-0.26531	-0.40291	-0.30873	-0.2678	0.23127	0.39055	-6.66001	-5.42729	-0.425447573737725	-0.39728	-0.51143	-0.41955	-0.37354	0.86879	0.16135	7.48355	-6.45462
"stick"	4	-0.0887900464236736	0.0851082151639275	-0.0433848531327164	2.10714792858	-0.0579	-0.05125	-0.02702	-0.03737	0.75774	0.0513	25.8176	-2.67711	-0.114462316775639	-0.1526	-0.13585	-0.06527	-0.10413	0.69201	0.05784	23.89713	-2.88082	-0.0972185035764782	-0.12973	-0.11489	-0.0594	-0.08485	0.75327	0.05177	25.67129	-2.36413
"stick"	4	-0.365026725886855	0.0324955356772989	-0.363150042190161	1.01104900813604	-0.37337	-0.36766	-0.36583	-0.34574	0.99738	0.03105	33.85089	-2.64449	-0.457444110321061	-0.47176	-0.4878	-0.44408	-0.42614	0.0746	0.58348	-13.08321	-0.61647	-0.581674371762237	-0.59471	-0.58535	-0.59067	-0.55597	0.82566	0.25325	0.27073	-37.57401
"stick"	4	-0.143670788884629	0.0754989911802113	-0.156561913805776	0.862002819334236	-0.1902	-0.14676	-0.14655	-0.14274	0.90952	0.05132	25.81086	-4.24108	-0.231691841309221	-0.27942	-0.22398	-0.20233	-0.22103	0.54551	0.11503	12.89867	-10.66604	-0.166974692595255	-0.20365	-0.15758	-0.15234	-0.15433	0.86226	0.06332	22.44897	-5.96799
"stick"	4	-0.203704451117665	0.0715080471709371	-0.19205513732493	1.0653365263012	-0.2161	-0.16511	-0.19794	-0.18908	0.93518	0.06893	21.09181	-5.16176	-0.54572327729473	-0.57798	-0.46567	-0.58433	-0.55491	-0.42784	0.3235	-3.64619	-17.00135	-0.257811991731505	-0.28513	-0.21885	-0.274	-0.25327	0.88746	0.09082	16.67891	-2.9122
"stick"	4	-0.42560337933246	0.0658354427432641	-0.419921921225119	1.02291280748847	-0.44958	-0.37235	-0.41989	-0.43787	0.99363	0.06233	22.70126	-4.84453	-0.133179776109191	-0.14927	-0.09604	-0.13602	-0.15139	-1.56552	1.25101	-25.28626	-3.12939	-0.733533617219613	-0.77412	-0.67078	-0.73227	-0.75696	0.77721	0.36865	-5.7367	-34.74828
"stick"	4	-0.296738814667333	0.0659808791824616	-0.299430143934332	1.0067727216847	-0.33195	-0.27837	-0.28955	-0.29785	0.97066	0.07754	19.209	-3.76077	-0.26443264427599	-0.31278	-0.22477	-0.257	-0.26318	-0.07239	0.46873	-9.57943	-4.62222	-0.439441557161623	-0.46791	-0.42554	-0.42719	-0.43712	0.84685	0.17714	5.9903	-8.11432
"stick"	4	-0.45603844410507	0.100037376512773	-0.465106778252271	0.985482677257935	-0.4576	-0.4915	-0.48211	-0.42922	0.98851	0.09176	16.51403	-4.46755	-0.100156924394917	-0.10475	-0.11941	-0.10031	-0.07616	-1.73094	1.41466	-27.25322	-4.28864	-0.794508332103971	-0.77575	-0.8276	-0.8231	-0.75159	0.77723	0.40404	-7.2031	-21.90092
"stick"	4	-0.412567176949233	0.201466397731565	-0.290974635233679	1.57555854082636	-0.29053	-0.25847	-0.32382	-0.29109	0.93236	0.18119	5.62842	-2.63491	-0.320653922012073	-0.3214	-0.44463	-0.29217	-0.22441	-0.63994	0.89217	-19.87743	-2.0811	-0.663423890561692	-0.67548	-0.57782	-0.71274	-0.68766	0.81518	0.29951	-2.41319	-3.19311
"stick"	4	-0.13471662447555	0.0237366608344018	-0.188910767743895	0.689039781215723	-0.1906	-0.1808	-0.21326	-0.17098	0.98903	0.0174	43.11438	-2.54798	-0.225646368237949	-0.2266	-0.22243	-0.24501	-0.20853	0.63563	0.10028	15.09305	-17.86116	-0.165894520365309	-0.16704	-0.16112	-0.18439	-0.15103	0.93168	0.04342	28.48468	-8.16393
"stick"	4	-0.255292263173033	0.181764896668028	-0.0538570798569793	5.86761399078499	-0.0395	-0.05016	-0.0517	-0.07407	0.89122	0.11308	13.17091	-5.84006	-0.52593158926868	-0.49645	-0.52292	-0.49097	-0.59339	0.56556	0.22599	2.09349	-12.01165	-0.339153462455537	-0.24747	-0.32183	-0.32576	-0.46155	0.88559	0.11597	12.76756	-5.27459
"stick"	4	-0.415507030684967	0.156006920733489	-0.584895427554464	0.625488405619942	-0.54921	-0.5722	-0.63606	-0.58211	0.95661	0.16656	6.97502	-2.99943	-0.388142353178951	-0.27198	-0.37241	-0.45034	-0.45783	-0.13139	0.85051	-19.1123	-1.17625	-0.718415933127964	-0.70684	-0.71184	-0.74843	-0.70655	0.67395	0.45658	-9.15919	-9.22075
"stick"	4	-0.0572694481816143	0.0258266452583484	-0.145545205495045	0.416681469668434	-0.16661	-0.08881	-0.20058	-0.12617	0.91132	0.02313	38.56271	-7.31415	-0.079616864521359	-0.08737	-0.057	-0.10668	-0.06742	0.83598	0.03146	33.64352	-2.58658	-0.0721304178746438	-0.08035	-0.04894	-0.09781	-0.06142	0.88214	0.02667	36.28709	-3.82629
"stick"	4	-0.212729463668074	0.0828340036678128	-0.210319210302977	1.03960192222822	-0.24841	-0.21035	-0.21694	-0.16558	0.9236	0.08182	18.34811	-6.19046	-0.440281749265205	-0.48864	-0.41012	-0.44794	-0.41444	0.45904	0.21773	2.68884	-24.22036	-0.279886774245136	-0.32548	-0.27035	-0.2882	-0.23552	0.86922	0.10705	14.04764	-2.66694
"stick"	4	-0.0665623668930493	0.0475031811511144	-0.389748171403341	0.1	-0.46093	-0.19561	-0.2949	-0.60755	0.53148	0.04989	26.26537	-12.74779	-0.0712490127421523	-0.07801	-0.04219	-0.05972	-0.10508	0.75941	0.03575	31.59747	-3.36377	-0.0642140522676733	-0.07122	-0.03673	-0.05265	-0.09626	0.75886	0.03579	31.57907	-4.45896
"stick"	4	-0.404041056323331	0.136697727662977	-0.374960364538904	1.08065995940438	-0.42126	-0.35788	-0.33379	-0.38691	0.98417	0.08589	17.57179	-2.73924	-0.265750519468142	-0.37432	-0.0711	-0.37898	-0.23861	-0.66897	0.88192	-19.69257	-2.61771	-0.645739696784534	-0.69899	-0.62983	-0.5976	-0.65654	0.8161	0.29275	-2.04801	-14.96871
"stick"	4	-0.296097185846884	0.20532466401346	-0.42140695878981	0.615182068558648	-0.38608	-0.50266	-0.28468	-0.51221	0.88163	0.16439	7.18558	-4.18937	-0.451961912747328	-0.36243	-0.60606	-0.3449	-0.49446	0.50363	0.33662	-4.28234	-7.27606	-0.4176107308043	-0.35975	-0.46964	-0.33556	-0.50549	0.7205	0.2526	0.31202	-6.46803
"stick"	4	-0.40590805138927	0.0163677254458889	-0.425750196125167	0.935192638135067	-0.42642	-0.43523	-0.42351	-0.41785	0.99951	0.01595	44.51177	-2.5676	-0.708768960412609	-0.69033	-0.73703	-0.7312	-0.67652	0.06896	0.6918	-15.80764	-3.01292	-0.675004970271944	-0.67491	-0.68416	-0.67497	-0.66598	0.79223	0.3268	-3.80864	-53.29913
"stick"	4	-0.45350760325091	0.112878037267365	-0.533197807427046	0.801294287324227	-0.57449	-0.56489	-0.50877	-0.48465	0.9928	0.07582	19.56631	-5.22062	-0.235680805946528	-0.12124	-0.13967	-0.35498	-0.32683	-0.86493	1.21996	-24.88408	-2.18458	-0.815522423510104	-0.85561	-0.84016	-0.78491	-0.7814	0.71835	0.4741	-9.76152	-32.2618
"stick"	4	-0.0841601540567353	0.109543598257005	-0.364406684140108	0.152936241613309	-0.02401	-0.5722	-0.75975	-0.10166	0.37083	0.10232	14.77189	-11.92462	-0.0943970441784896	-0.04847	-0.13456	-0.1864	-0.00816	0.53394	0.08806	17.1725	-8.06326	-0.081953764660493	-0.03291	-0.12027	-0.16651	-0.00812	0.52874	0.08855	17.08371	-8.61121
"stick"	4	-0.0928917333600111	0.119979970506392	-0.239521306009162	0.294279092019866	0.05182	-0.42055	-0.2576	-0.33175	-0.04796	0.15015	8.63477	-14.35424	-0.0909834793321779	-0.06161	-0.13375	-0.0846	-0.08397	0.27824	0.12461	11.618	-14.73189	-0.0811684933273863	-0.03718	-0.12549	-0.07584	-0.08616	0.22518	0.12911	11.05054	-16.69036
"stick"	4	-0.498331198492087	0.247285143937916	-0.427912080428425	1.22909530320046	-0.44538	-0.5645	-0.38636	-0.31541	0.95707	0.19924	4.10871	-3.11567	-0.199248645176453	-0.13508	-0.29543	-0.33231	-0.03418	-1.27704	1.45112	-27.66035	-4.81367	-0.883789418599474	-0.91309	-1.09413	-0.78891	-0.73903	0.76093	0.47019	-9.62927	-7.80704
"stick"	4	-0.205495311471168	0.0635257552494295	-0.323068473566508	0.580623809126478	-0.26075	-0.38138	-0.32556	-0.32458	0.96899	0.05123	25.84079	-5.84705	-0.350958473902711	-0.31441	-0.38825	-0.34825	-0.35294	0.67809	0.16505	7.12135	-19.77352	-0.2737226203362	-0.23518	-0.31186	-0.2726	-0.27525	0.85664	0.11014	13.59301	-4.91148
"stick"	4	-0.47513835580321	0.235830458637793	-0.415571598027006	1.20050570804222	-0.36356	-0.54258	-0.27412	-0.48202	0.95052	0.20257	3.84407	-4.53414	-0.404325746824365	-0.18954	-0.61786	-0.43166	-0.37824	-0.52954	1.12623	-23.60496	-3.60328	-0.836234557753841	-0.78177	-1.00591	-0.62226	-0.935	0.75424	0.45144	-8.97789	-10.99155
"stick"	4	-0.340840518812183	0.00370318192290142	-0.33963308664117	1.00448193352447	-0.34064	-0.33829	-0.33951	-0.34008	0.99996	0.00331	69.68766	-1.36063	-0.385313137359687	-0.38789	-0.38316	-0.38389	-0.38631	0.09066	0.51644	-11.13032	-0.91891	-0.5234223173112	-0.52467	-0.52166	-0.52294	-0.52441	0.84779	0.21129	3.16956	-82.30963
"stick"	4	-0.345232207863592	0.209825641359203	-0.224957225171558	1.66065705290794	-0.24311	-0.25968	-0.16975	-0.2273	0.8868	0.17758	5.95068	-0.90031	-0.351468192832923	-0.46565	-0.5154	-0.16023	-0.26459	-0.14593	0.56499	-12.56777	-2.15067	-0.510692028012542	-0.5356	-0.57664	-0.40767	-0.52286	0.79101	0.24128	1.04581	-3.66995
"stick"	4	-0.0956900140270591	0.0328158919583075	-0.116882561267433	0.806951031991307	-0.10751	-0.13073	-0.10571	-0.12359	0.9422	0.02579	36.82134	-1.32182	-0.131059505530765	-0.12255	-0.14549	-0.12162	-0.13458	0.81138	0.04659	27.35908	-4.37435	-0.11009020957364	-0.10187	-0.12279	-0.10088	-0.11482	0.91547	0.03119	33.77999	-1.45097
"stick"	4	-0.134351733198855	0.026971552753821	-0.114145673995361	1.22242546202493	-0.10181	-0.11663	-0.12698	-0.11116	0.96082	0.03163	33.55453	-4.01778	-0.209828917746573	-0.19456	-0.21168	-0.22476	-0.20832	0.76507	0.07746	19.22553	-7.68531	-0.160953398929838	-0.1452	-0.16395	-0.17663	-0.15804	0.93957	0.03928	30.08776	-1.87219
"stick"	4	-0.200578196428251	0.198085969605017	-0.287845723269069	0.775340733935433	-0.24298	-0.53721	-0.13867	-0.23252	0.5669	0.26145	-0.23879	-4.45879	-0.377886780058625	-0.35549	-0.51623	-0.34424	-0.29559	0.27802	0.33757	-4.3271	-8.81624	-0.291368997681226	-0.25935	-0.46891	-0.20685	-0.23037	0.44855	0.29502	-2.17147	-1.34052
"stick"	4	-0.145044247747865	0.186149211134762	-0.28485342977497	0.452503215646404	-0.41861	-0.50185	-0.42141	0.20245	0.1037	0.22224	2.36067	-16.70367	-0.145694856579317	-0.23818	-0.22495	-0.16514	0.04549	0.48206	0.16894	6.74798	-7.54427	-0.127745124509664	-0.19965	-0.20498	-0.15591	0.04956	0.50203	0.16565	7.0626	-11.38607
"stick"	4	-0.232443504733965	0.209081700595561	-0.396776897441176	0.60449449550837	-0.27038	-0.49755	-0.22642	-0.59276	0.78916	0.19852	4.1666	-6.17336	-0.464326830553127	-0.4777	-0.52795	-0.35443	-0.49723	0.42334	0.32832	-3.88283	-12.4578	-0.35226205419405	-0.27201	-0.41886	-0.24952	-0.46866	0.64467	0.25772	-0.00907	-2.17291
"stick"	4	-0.0723418275360018	0.114618384977803	-0.271259570276259	0.1	-0.38065	-0.20311	-0.19798	-0.3033	-0.41879	0.11097	13.47262	-11.19444	-0.0583402612559617	-0.0825	-0.04173	-0.0408	-0.06833	0.01883	0.09228	16.42312	-9.35669	-0.0508409245284213	-0.07198	-0.03629	-0.03553	-0.05955	-0.02288	0.09423	16.09005	-9.68817
"stick"	4	-0.450443053303752	0.100494208105374	-0.367236052685282	1.28809474477156	-0.29871	-0.40533	-0.35789	-0.407	0.99265	0.06736	21.46057	-5.1562	-0.133304144639203	-0.07658	-0.14584	-0.11572	-0.19507	-1.72761	1.29781	-25.87389	-5.48965	-0.747501336960086	-0.64237	-0.81344	-0.73698	-0.79721	0.82717	0.32669	-3.80296	-27.55287
"stick"	4	-0.349706406483892	0.106650390778668	-0.233331508935612	1.64060823857866	-0.25248	-0.22721	-0.23646	-0.21717	0.95867	0.10846	13.83961	-2.30825	-0.479138894112551	-0.44993	-0.52412	-0.50754	-0.43497	0.14488	0.49335	-10.39843	-0.56021	-0.523615207354908	-0.56482	-0.50473	-0.52434	-0.50057	0.86527	0.19583	4.38532	-8.47908
"stick"	4	-0.151691818644758	0.147082564770244	-0.271244139618971	0.524593691694969	-0.315	-0.25999	-0.34373	-0.16625	0.74661	0.12933	11.02348	-6.35463	-0.174002615209748	-0.20014	-0.23062	-0.20637	-0.05887	0.54007	0.17424	6.25416	-3.34684	-0.203780707011527	-0.22653	-0.22471	-0.24724	-0.11665	0.65745	0.15037	8.61148	-4.1462
"stick"	4	-0.457496199663728	0.233108021027874	-0.600933923967951	0.698239732859546	-0.41522	-0.55736	-0.76766	-0.6635	0.94868	0.20832	3.39582	-4.96709	-0.319624354672718	-0.1771	-0.33928	-0.48436	-0.27775	-0.40962	1.09175	-23.10757	-1.15926	-0.812426240435631	-0.65489	-0.79039	-0.93197	-0.87246	0.6801	0.52009	-11.24301	-10.07604
"stick"	4	-0.146085759042762	0.0612538938294165	-0.361856407347289	0.347075721519424	-0.38419	-0.25102	-0.35893	-0.45328	0.91986	0.06003	23.30373	-4.05804	-0.275468695344535	-0.29423	-0.20754	-0.28554	-0.31457	0.37309	0.16789	6.84775	-10.01701	-0.192711593784463	-0.2056	-0.13909	-0.19738	-0.22877	0.78713	0.09783	15.48859	-2.0154
"stick"	4	-0.485487445862964	0.00110528111690655	-0.485126764567791	1.00098808059418	-0.48557	-0.48496	-0.48502	-0.48496	1	0.00092	90.13378	-2.70086	-0.137616949044677	-0.1381	-0.13742	-0.13751	-0.13744	-1.55614	1.52022	-28.4047	-7.09434	-0.882197079861903	-0.88267	-0.88205	-0.88212	-0.88194	0.75077	0.47469	-9.78161	-131.19728
"stick"	4	-0.235189412022009	0.220328338153195	-0.214727369225415	1.20166922011264	-0.14293	-0.17625	-0.33822	-0.20151	0.73744	0.20254	3.84627	-6.50162	-0.361675176905735	-0.34596	-0.38332	-0.4457	-0.27173	0.51964	0.27395	-0.98632	-9.78503	-0.329325439106863	-0.2416	-0.24644	-0.48989	-0.33937	0.68671	0.22124	2.43311	-3.7907
"stick"	4	-0.375660012650769	0.231750378268771	-0.438057311435595	0.805882050308431	-0.50187	-0.44358	-0.40235	-0.40443	0.95071	0.15052	8.59601	-2.79442	-0.379562828009239	-0.39342	-0.32766	-0.43551	-0.36165	-0.09948	0.71084	-16.24217	-1.25517	-0.617625940963793	-0.68553	-0.62497	-0.55492	-0.60509	0.72621	0.35473	-5.12043	-10.5726
"stick"	4	-0.17022982253693	0.0975803717738017	-0.234017068979535	0.705707315273952	-0.23484	-0.14314	-0.27976	-0.27832	0.91657	0.06836	21.22406	-4.86188	-0.335163976003425	-0.32572	-0.26434	-0.39054	-0.36005	0.38396	0.18576	5.22955	-9.25593	-0.217035208364383	-0.2142	-0.14633	-0.25836	-0.24925	0.85458	0.09025	16.77901	-2.78679
"stick"	4	-0.0573285267688334	0.227213769685477	-0.193884992701583	0.244502192264105	-0.19869	0.16358	-0.65864	-0.08179	0.16237	0.15245	8.39163	-12.75582	-0.0574509449282689	-0.08336	0.00011	-0.16433	0.01779	0.26601	0.14271	9.44826	-16.30423	-0.0527040030155481	-0.06596	0.01416	-0.1614	0.00238	0.24227	0.145	9.19358	-16.02471
"stick"	4	-0.296972770453431	0.112718746764585	-0.425635761919838	0.60639302031619	-0.42604	-0.40774	-0.48144	-0.38731	0.96528	0.08808	17.16872	-2.81682	-0.247299901549695	-0.24214	-0.24137	-0.27201	-0.23368	-0.0067	0.47428	-9.76753	-8.38494	-0.438524908395026	-0.44064	-0.44409	-0.47244	-0.39693	0.75846	0.23232	1.65151	-10.83915
"stick"	4	-0.148193263809662	0.162848788138945	-0.608744707248088	0.1	-0.48782	-0.67884	-0.52526	-0.74306	-0.25842	0.28942	-1.86487	-14.84641	-0.244534622614789	-0.30331	-0.17173	-0.29225	-0.21084	0.2562	0.22251	2.3418	-10.55821	-0.155684958678709	-0.17602	-0.12949	-0.164	-0.15323	0.27741	0.21931	2.57326	-11.76299
"stick"	4	-0.174768907250836	0.186434223607648	-0.298248344365639	0.633205063227339	-0.33019	-0.43891	-0.13857	-0.28532	0.75253	0.16368	7.25405	-8.73651	-0.213574830214024	-0.22707	-0.23597	-0.19875	-0.1925	0.4952	0.23378	1.55129	-6.06028	-0.257208555656381	-0.29026	-0.34572	-0.1368	-0.25606	0.68762	0.1839	5.39065	-4.1882
"stick"	4	-0.309156463085674	0.0950451791286469	-0.28012169267067	1.12339198565134	-0.30625	-0.27085	-0.26986	-0.27353	0.96916	0.08123	18.46544	-4.66977	-0.35794010566217	-0.36925	-0.33914	-0.36181	-0.36156	0.30272	0.38625	-6.4826	-3.14803	-0.441069667262408	-0.48449	-0.4275	-0.42679	-0.4255	0.87517	0.16343	7.27894	-4.33662
"stick"	4	-0.296399149461649	0.168806115339976	-0.106052282490994	3.41249783484809	-0.09402	-0.107	-0.08591	-0.13727	0.84591	0.17478	6.20479	-5.30139	-0.316590432441517	-0.35392	-0.21555	-0.35484	-0.34205	0.06532	0.43046	-8.21647	-2.74191	-0.412535425483812	-0.36024	-0.41093	-0.352	-0.52698	0.82942	0.18389	5.39173	-3.59807
"stick"	4	-0.1501253640512	0.064449263503775	-0.127136046588554	1.32454072811225	-0.14103	-0.14965	-0.09972	-0.11814	0.93885	0.04993	26.25175	-1.99967	-0.30400360517111	-0.32909	-0.34831	-0.26249	-0.27613	0.47582	0.14618	9.06377	-9.95298	-0.198754274933258	-0.22033	-0.23382	-0.15864	-0.18222	0.91061	0.06036	23.21474	-1.80342
"stick"	4	-0.413869087886997	0.0840378137654625	-0.474239840376037	0.819697413228482	-0.44235	-0.49634	-0.41959	-0.53869	0.97913	0.1082	13.87663	-3.88164	-0.384674030678492	-0.48785	-0.18886	-0.39037	-0.47161	-0.21042	0.82409	-18.60749	-2.05014	-0.688133655744035	-0.6371	-0.74366	-0.61644	-0.75533	0.75295	0.37231	-5.89448	-15.55035
"stick"	4	-0.362822622305248	0.158132492506411	-0.36372176180985	1.00481273254984	-0.29196	-0.40197	-0.39784	-0.36312	0.92868	0.16822	6.81664	-5.13759	-0.413013877675579	-0.5026	-0.48071	-0.24102	-0.42773	0.0177	0.62431	-14.16517	-2.50158	-0.57583995096963	-0.52259	-0.61113	-0.60011	-0.56953	0.77357	0.29974	-2.42545	-5.37653
"stick"	4	-0.343612886406481	0.227718648384325	-0.134412592621817	3.25845272684455	-0.16573	-0.08968	-0.1114	-0.17084	0.94572	0.12365	11.74118	-2.93785	-0.430023077259138	-0.47095	-0.34924	-0.41269	-0.48721	-0.14881	0.56885	-12.67693	-1.56269	-0.528265910275492	-0.64503	-0.35716	-0.44928	-0.66159	0.90675	0.16207	7.41261	-7.62287
"stick"	4	-0.427699840208516	0.133959790866356	-0.390520823388392	1.14189643348616	-0.45752	-0.36596	-0.36189	-0.37672	0.96631	0.14159	9.5739	-1.09412	-0.273446505619374	-0.16599	-0.41889	-0.32382	-0.18509	-0.80965	1.03776	-22.29603	-1.75341	-0.726613159653479	-0.82004	-0.69004	-0.69221	-0.70416	0.78087	0.36112	-5.40611	-7.07431
"stick"	4	-0.468924860726111	0.0599931232281961	-0.469078403731519	0.994075789891265	-0.46285	-0.45503	-0.46751	-0.49092	0.99646	0.05313	25.25645	-2.3164	-0.126530675913736	-0.10663	-0.12028	-0.11693	-0.16228	-1.60385	1.44131	-27.5519	-5.59508	-0.829969772986532	-0.83141	-0.8103	-0.82903	-0.84914	0.76195	0.4358	-8.4139	-32.90444
"stick"	4	-0.300956520973705	0.219052458531223	-0.39668447829163	0.649293539578229	-0.38926	-0.44437	-0.39809	-0.35502	0.87476	0.17845	5.8719	-4.50418	-0.452981598098136	-0.24557	-0.63159	-0.28344	-0.65132	0.32938	0.41294	-7.55175	-9.8678	-0.443831347842144	-0.42981	-0.48445	-0.44023	-0.42083	0.66941	0.28993	-1.8932	-10.20299
"stick"	4	-0.1516888999613	0.0882425550371408	-0.110995865706851	1.41069659753418	-0.10384	-0.13273	-0.12603	-0.08139	0.85028	0.07474	19.79692	-5.12882	-0.255985130654145	-0.27109	-0.31229	-0.27683	-0.16374	0.54866	0.12977	10.9691	-5.52919	-0.181019166356437	-0.17609	-0.218	-0.2015	-0.12848	0.8287	0.07995	18.71962	-4.17301
"stick"	4	-0.0524430093006231	0.224968739959877	-0.0101575509141338	9.2288080647844	-0.00564	-0.01501	-0.03007	0.01009	0.15653	0.34971	-4.8925	-11.82239	0.0150310154590825	-0.00809	0.06813	-0.24107	0.24115	-0.30678	0.43528	-8.39483	-13.88722	-0.0991844293820872	-0.05723	-0.1395	-0.28674	0.08673	0.15526	0.34997	-4.90451	-12.01292
"stick"	4	-0.422613805194851	0.132918367104139	-0.287410188420845	1.64858279881091	-0.36987	-0.27771	-0.24689	-0.25518	0.95657	0.15007	8.64382	-2.44823	-0.453930250830594	-0.41373	-0.48164	-0.36688	-0.55347	-0.3973	0.85116	-19.12456	-1.0922	-0.69476751725163	-0.85696	-0.67716	-0.59635	-0.64859	0.82486	0.30134	-2.51101	-10.47653
"stick"	4	-0.381951143010519	0.0897795826895162	-0.325114557387404	1.25350984879054	-0.28319	-0.35615	-0.31433	-0.34678	0.99157	0.05826	23.78331	-5.53094	-0.540923959215741	-0.57601	-0.54007	-0.5564	-0.49122	0.07076	0.61152	-13.83402	-1.4317	-0.611491656368069	-0.55656	-0.64901	-0.5928	-0.6476	0.85455	0.24194	1.00222	-22.97396
"stick"	4	-0.28386399964802	0.0740048937150277	-0.307114374827414	0.902531602480281	-0.32267	-0.26767	-0.31962	-0.31849	0.9884	0.04584	27.61748	-1.47732	-0.259112135040529	-0.28143	-0.22451	-0.2635	-0.26701	0.00325	0.42492	-8.0094	-9.49917	-0.413311803152965	-0.42915	-0.36938	-0.42577	-0.42895	0.84925	0.16525	7.10168	-19.9816
"stick"	4	-0.429089917137753	0.119732601975556	-0.398909800959887	1.10399574083019	-0.41013	-0.33896	-0.40277	-0.44378	0.97455	0.12253	11.88763	-2.45907	-0.214777840232203	-0.40574	-0.1807	-0.18303	-0.08964	-1.03381	1.09533	-23.15986	-4.61384	-0.717428229523276	-0.71003	-0.62934	-0.72961	-0.80074	0.79619	0.34674	-4.75591	-10.47939
"stick"	4	-0.466485385864507	0.151558682846371	-0.455846569541896	1.01119013508549	-0.41198	-0.34423	-0.4852	-0.58198	0.96062	0.17422	6.25593	-5.05487	-0.210637840245219	-0.08015	-0.14312	-0.34656	-0.27272	-1.05986	1.26001	-25.40092	-2.27308	-0.806473018621595	-0.77233	-0.68324	-0.82803	-0.9423	0.73856	0.44889	-8.88737	-14.91451
