"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.373070782830473	0.130627858801745	-0.380563822308905	1.04162330782963	-0.38405	-0.34342	-0.42517	-0.36962	0.95758	0.13782	10.00537	-5.85457	-0.65522645510974	-0.74811	-0.46315	-0.78936	-0.6203	0.17014	0.60957	-13.78286	-2.03259	-0.624329709343306	-0.62541	-0.60198	-0.65134	-0.61859	0.80147	0.29815	-2.34041	-6.88964
"stick"	4	-0.321215633640531	0.0685332820867188	-0.337817366649815	0.958507931732262	-0.33258	-0.33018	-0.36162	-0.32689	0.97438	0.083	18.11959	-3.7336	-0.338456621558465	-0.31891	-0.32257	-0.3901	-0.32225	0.05045	0.50532	-10.78191	-1.73621	-0.496456711914576	-0.50142	-0.47555	-0.51999	-0.48886	0.8232	0.21804	2.66608	-13.39868
"stick"	4	-0.393513808492571	0.170075417961925	-0.381307138353581	1.06873437121534	-0.33637	-0.41571	-0.4444	-0.32875	0.91311	0.2083	3.39766	-2.9821	-0.28109332009885	-0.17392	-0.19549	-0.35327	-0.40169	-0.52498	0.87261	-19.52269	-1.88524	-0.644734319524924	-0.58411	-0.71628	-0.72179	-0.55676	0.75957	0.34648	-4.74426	-1.64227
"stick"	4	-0.177731003833469	0.236698554828763	-0.460550085173262	0.344291559994581	-0.4979	-0.60256	0.0179	-0.75964	0.20421	0.29026	-1.91147	-11.3325	-0.297003386180461	-0.23478	-0.36375	-0.23795	-0.35154	0.46118	0.23884	1.2082	-3.16833	-0.230418993553412	-0.1731	-0.30336	-0.12825	-0.31697	0.53542	0.22178	2.3941	-8.43901
"stick"	4	-0.223940232128371	0.0669160686084069	-0.135151079266398	1.70724300729756	-0.15817	-0.11367	-0.1337	-0.13507	0.92952	0.07278	20.22132	-1.63405	-0.411402697836911	-0.45239	-0.36214	-0.41582	-0.41526	0.59227	0.17506	6.17869	-17.11454	-0.275727102795731	-0.31789	-0.23373	-0.27519	-0.27609	0.89572	0.08853	17.08705	-0.97866
"stick"	4	-0.19370593248168	0.228969198826235	-0.631503904698046	0.198173719643836	-0.14558	-0.41969	-0.93932	-1.02142	0.25045	0.24771	0.62478	-11.44088	-0.270577163016122	-0.25363	-0.21359	-0.28255	-0.33254	0.54192	0.19365	4.56422	-4.17837	-0.230804521839216	-0.15624	-0.15611	-0.29704	-0.31383	0.61172	0.17829	5.8867	-9.50384
"stick"	4	-0.365650397108402	0.185708455042914	-0.409235319998957	0.885388111889639	-0.54696	-0.41552	-0.44482	-0.22965	0.91123	0.19265	4.64707	-7.22493	-0.351561276310022	-0.38228	-0.44482	-0.48051	-0.09863	0.02978	0.63692	-14.48516	-1.88476	-0.576327875158393	-0.71591	-0.57368	-0.58603	-0.42969	0.74054	0.32937	-3.93379	-7.02294
"stick"	4	-0.253073370666243	0.0766506755026057	-0.218674472730345	1.13506206443514	-0.2401	-0.19823	-0.20404	-0.23233	0.94415	0.08037	18.63571	-3.97465	-0.390199914624642	-0.37445	-0.33914	-0.35102	-0.49619	0.6629	0.19745	4.25356	-12.83482	-0.32742509689647	-0.35539	-0.30257	-0.31516	-0.33657	0.87514	0.12017	12.19895	-3.53004
"stick"	4	-0.336833375343122	0.249337217479479	-0.436478691511157	0.759001792502869	-0.38825	-0.23105	-0.53051	-0.59611	0.76744	0.31142	-3.0372	-5.75198	-0.147055369546354	-0.2145	-0.1038	-0.21752	-0.0524	-0.48761	0.78763	-17.88346	-8.66507	-0.514843341780741	-0.45658	-0.35069	-0.56112	-0.69098	0.606	0.40535	-7.25494	-2.3905
"stick"	4	-0.310855660622474	0.0694001291994937	-0.235099408142227	1.44890430141231	-0.27351	-0.24215	-0.2165	-0.20824	0.98426	0.05831	23.76806	-3.16878	-0.351290648724159	-0.4086	-0.35793	-0.34092	-0.29771	0.13456	0.43235	-8.28655	-1.60066	-0.45885947423822	-0.52399	-0.46645	-0.43538	-0.40961	0.90136	0.14596	9.0879	-10.41493
