"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.444570051669143	0.123238638800103	0.0493988955344987	4.60435727553225	0.07038	0.06211	0.04855	0.04262	0.02333	0.7969	0.13219	8.25485	0	0.218976267879237	0.30488	0.2648	0.20422	0.19868	0.1223	-0.46441	0.35496	-3.59821	0	0.226791427956001	0.3213	0.28153	0.2187	0.199	0.11343	0.76091	0.14342	7.27611	0
"stick"	5	0.395982584811281	0.0319034652784467	0.230184785673855	1.29966636297277	0.21707	0.23441	0.25027	0.22069	0.22849	0.85695	0.09102	12.73303	0	0.262437193819788	0.26814	0.25965	0.27359	0.24709	0.26372	-6.08254	0.64043	-10.67995	0	0.279486508772343	0.28214	0.27778	0.29392	0.2634	0.2802	-0.14619	0.25764	0.24717	0
"stick"	5	0.227262204152066	0.0374522135243751	0.146287980152177	1.49175614892626	0.12987	0.13423	0.14941	0.1793	0.13863	0.9022	0.07231	15.4949	0	0.162607320788318	0.14226	0.14666	0.16788	0.20467	0.15157	0.27352	0.19707	3.46326	0	0.182987711969331	0.16062	0.16588	0.18814	0.2288	0.1715	0.79628	0.10436	11.09219	0
"stick"	5	0.0534766331198625	0.122012564796023	0.010765361364293	1.02743991544316	0.12112	-0.07693	0.0646	-0.1798	0.12483	0.2826	0.14571	7.08662	0	0.0126399429354458	0.1134	-0.09911	0.05496	-0.12674	0.12069	0.02867	0.16954	5.26841	0	0.0134923425162189	0.11825	-0.09012	0.05969	-0.14459	0.12423	0.20077	0.15379	6.43857	0
"stick"	5	0.123851651640143	0.0487634261371568	0.12857386889939	0.80484570820913	0.12457	0.04708	0.17557	0.09588	0.19978	0.86265	0.04975	19.98255	0	0.0915825093849931	0.07733	0.05572	0.12718	0.05349	0.1442	0.55621	0.08942	12.94577	0	0.0955976226977674	0.08363	0.0525	0.13205	0.05977	0.15004	0.77152	0.06416	16.92912	0
"stick"	5	0.282350226677954	0.195850625168532	0.261911107881992	1.1420094399092	0.14208	0.25516	0.37638	0.29246	0.24347	0.4194	0.1897	3.92054	0	0.249465246242966	0.26999	0.16374	0.30186	0.25495	0.25679	-6.31741	0.67345	-11.2832	0	0.271642592748448	0.27515	0.19461	0.33992	0.27771	0.27082	-1.12349	0.36279	-3.86004	0
"stick"	5	0.456147743179463	0.0212955352035351	0.457092691341012	0.990151962645648	0.50152	0.45563	0.40091	0.37487	0.55252	0.98156	0.03338	24.76877	0	0.293060898515883	0.29807	0.2932	0.2738	0.27662	0.32361	-10.10344	0.81916	-13.63349	0	0.31624579951946	0.32304	0.31604	0.29329	0.29579	0.35307	-0.79719	0.32956	-2.7073	0
"stick"	5	0.404904754762538	0.159188011020888	0.0809426410631438	2.91222167255424	0.1439	0.06112	0.05198	0.13842	0.00929	0.79829	0.15511	6.33625	0	0.219261727025836	0.36285	0.13099	0.19693	0.3291	0.07644	-0.11529	0.36473	-3.92409	0	0.232793694863041	0.39909	0.15704	0.17989	0.37438	0.05357	0.73672	0.17721	4.73786	0
"stick"	5	0.143121252767742	0.0919009452336468	-0.0374782567225162	0.817210275306469	-0.12091	-0.00985	0.01058	-0.06695	-0.00026	-3.31009	0.51581	-8.08296	0	0.029807157071909	0.06591	0.10068	0.03487	-0.05364	0.00122	-0.69587	0.32355	-2.48638	0	0.0229567312696312	0.04801	0.08918	0.03017	-0.05349	0.00092	-0.91041	0.3434	-3.20111	0
"stick"	5	0.241128562274389	0.0604799131397158	0.0261295186515661	6.29183433797652	0.03292	0.02779	0.01728	0.01655	0.03612	0.85941	0.08475	13.58864	0	0.158919178810936	0.19674	0.16534	0.10767	0.11107	0.21378	0.38937	0.17663	4.77688	0	0.163762587007102	0.20557	0.17324	0.10876	0.10615	0.2251	0.85141	0.08713	13.25674	0
"stick"	5	0.0858327298308723	0.044555917091202	0.0227301621418493	3.33528744344806	0.01978	0.03341	0.01714	0.02097	0.02234	0.92011	0.03265	25.03556	0	0.0724081584790918	0.06769	0.10341	0.05262	0.06732	0.07101	0.86594	0.0423	21.9294	0	0.0748893709160526	0.06665	0.10919	0.05584	0.06923	0.07354	0.91752	0.03317	24.84427	0
"stick"	5	0.407223095721565	0.146914981654845	0.157980685102864	1.787792056615	0.02755	0.14335	0.1726	0.18553	0.26087	0.91953	0.09734	11.92775	0	0.233486322691524	0.07306	0.16749	0.27902	0.29183	0.35602	-0.30608	0.39215	-4.79378	0	0.255746832856792	0.0676	0.19831	0.29689	0.3132	0.40274	0.79479	0.15544	6.31059	0
"stick"	5	0.068540425109677	0.0670657360460609	0.222770528288885	0.594942740903844	0.20105	0.24728	0.29797	0.18436	0.1832	-0.5113	0.12587	8.8425	0	0.0912318893578989	0.08315	0.11287	0.13628	0.05941	0.06444	-1.34427	0.15677	6.20846	0	0.0999207014193478	0.09039	0.12014	0.14576	0.0699	0.0734	-0.89024	0.14077	7.50008	0
"stick"	5	0.347698793152813	0.12931789632421	0.280711448124166	1.20331135709628	0.33347	0.37185	-0.15675	0.38336	0.47163	0.45302	0.18465	4.24418	0	0.294298008179837	0.27665	0.34413	0.11946	0.3143	0.41695	-11.60045	0.88626	-14.57827	0	0.321038338051028	0.30828	0.37711	0.10066	0.35395	0.46519	-1.88272	0.4239	-5.72828	0
"stick"	5	0.233572926791385	0.0664982557063922	0.170292259205925	1.61066067672345	0.1749	0.18954	0.147	0.17752	0.16249	0.84868	0.10513	11.00335	0	0.197897924750267	0.1986	0.20797	0.18192	0.20541	0.19559	-0.27174	0.30478	-1.76929	0	0.225239175009864	0.22814	0.24321	0.20142	0.23425	0.21918	0.67836	0.15327	6.47901	0
