"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"mult"	"mult"	"4"	"0.1"	"0.08"	"17"	"0.12668"	"0.08103"	"0.08697"	"0.11764"	"0.72207"	"0.07381"	"19.99657"	"-11.29762"
"mult"	"mult"	"4"	"0.1"	"0.08"	"18"	"0.08441"	"0.09634"	"0.02562"	"0.07526"	"0.23031"	"0.07697"	"19.32625"	"-9.00964"
"mult"	"mult"	"4"	"0.1"	"0.08"	"19"	"0.14673"	"0.13838"	"0.1064"	"0.05544"	"0.81298"	"0.06453"	"22.14747"	"-1.86418"
"mult"	"mult"	"4"	"0.1"	"0.08"	"20"	"0.11636"	"0.13334"	"0.02893"	"0.10284"	"0.77963"	"0.05985"	"23.35035"	"-6.16316"
"mult"	"mult"	"4"	"0.1"	"0.08"	"21"	"0.09068"	"0.12923"	"0.15314"	"0.04776"	"0.78975"	"0.06617"	"21.74615"	"-4.45078"
"mult"	"mult"	"4"	"0.1"	"0.08"	"22"	"0.17126"	"0.04717"	"0.15587"	"0.06867"	"0.6927"	"0.08927"	"16.95526"	"-5.32978"
"mult"	"mult"	"4"	"0.1"	"0.08"	"23"	"0.17573"	"0.05996"	"0.0464"	"0.08199"	"0.71747"	"0.06987"	"20.87421"	"-4.01576"
"mult"	"mult"	"4"	"0.1"	"0.08"	"24"	"0.12161"	"0.03076"	"0.17365"	"0.14061"	"0.70073"	"0.09141"	"16.57565"	"-7.70445"
"mult"	"mult"	"4"	"0.1"	"0.08"	"25"	"0.08973"	"0.13985"	"0.11596"	"0.05132"	"0.79269"	"0.06134"	"22.95861"	"-4.86556"
"mult"	"mult"	"4"	"0.1"	"0.08"	"26"	"0.06438"	"0.08198"	"0.16193"	"0.13362"	"0.69824"	"0.08493"	"17.75118"	"-9.91721"
"mult"	"mult"	"4"	"0.1"	"0.08"	"27"	"0.08543"	"0.14679"	"0.11834"	"0.08925"	"0.87702"	"0.0492"	"26.48741"	"-2.03152"
"mult"	"mult"	"4"	"0.1"	"0.08"	"28"	"0.0955"	"0.03853"	"0.11018"	"0.11863"	"0.40063"	"0.0914"	"16.57737"	"-5.72547"
"mult"	"mult"	"4"	"0.1"	"0.08"	"29"	"0.13228"	"0.11422"	"0.0782"	"0.04812"	"0.61154"	"0.07919"	"18.8719"	"-10.334"
"mult"	"mult"	"4"	"0.1"	"0.08"	"30"	"0.13997"	"0.12128"	"0.07737"	"0.08824"	"0.59994"	"0.09845"	"15.38855"	"-2.08756"
"mult"	"mult"	"4"	"0.1"	"0.08"	"31"	"0.12262"	"0.10498"	"0.10708"	"0.07736"	"0.89396"	"0.03893"	"30.23436"	"-3.49397"
"mult"	"mult"	"4"	"0.1"	"0.08"	"32"	"0.11102"	"0.11423"	"0.12604"	"0.08441"	"0.70533"	"0.07755"	"19.2063"	"-6.51069"
"mult"	"mult"	"4"	"0.1"	"0.08"	"33"	"0.0437"	"0.13351"	"0.12812"	"0.09014"	"0.7348"	"0.06914"	"21.04395"	"-5.77394"
"mult"	"mult"	"4"	"0.1"	"0.08"	"34"	"0.10349"	"0.12077"	"0.06223"	"0.02543"	"0.38005"	"0.07757"	"19.20129"	"-10.28845"
"mult"	"mult"	"4"	"0.1"	"0.08"	"35"	"0.06451"	"0.11481"	"0.12656"	"0.09765"	"0.55949"	"0.07851"	"19.01012"	"-7.2711"
"mult"	"mult"	"4"	"0.1"	"0.08"	"36"	"0.08575"	"0.04106"	"0.15476"	"0.12025"	"0.68675"	"0.07129"	"20.55223"	"-6.99366"
"mult"	"mult"	"4"	"0.1"	"0.08"	"37"	"0.07692"	"0.14193"	"0.1307"	"0.12271"	"0.81502"	"0.06456"	"22.13841"	"-1.90377"
"mult"	"mult"	"4"	"0.1"	"0.08"	"38"	"0.08076"	"0.08612"	"0.08617"	"0.07846"	"0.39949"	"0.0988"	"15.33195"	"-13.18526"
"mult"	"mult"	"4"	"0.1"	"0.08"	"39"	"0.15016"	"0.07665"	"0.08391"	"0.10946"	"0.71061"	"0.07607"	"19.51517"	"-1.16379"
"mult"	"mult"	"4"	"0.1"	"0.08"	"40"	"0.10755"	"0.10379"	"0.10822"	"0.12683"	"0.76548"	"0.07002"	"20.84079"	"-3.3283"
"mult"	"mult"	"4"	"0.1"	"0.08"	"41"	"0.10025"	"0.03868"	"0.13929"	"0.112"	"0.56541"	"0.08197"	"18.31984"	"-14.66859"
"mult"	"mult"	"4"	"0.1"	"0.08"	"42"	"0.07129"	"0.1051"	"0.11889"	"0.10065"	"0.80611"	"0.04861"	"26.68099"	"-7.36239"
"mult"	"mult"	"4"	"0.1"	"0.08"	"43"	"0.15241"	"0.0224"	"0.05995"	"0.11233"	"0.76727"	"0.05968"	"23.39667"	"-6.80663"
"mult"	"mult"	"4"	"0.1"	"0.08"	"44"	"0.10548"	"0.07921"	"0.11273"	"0.12381"	"0.68758"	"0.07566"	"19.60152"	"-6.13627"
"mult"	"mult"	"4"	"0.1"	"0.08"	"45"	"0.11761"	"0.1005"	"0.16123"	"0.07948"	"0.78661"	"0.07216"	"20.35977"	"-1.12601"
"mult"	"mult"	"4"	"0.1"	"0.08"	"46"	"0.14638"	"0.10149"	"0.09705"	"0.0679"	"0.81575"	"0.05502"	"24.69756"	"-6.63129"
"mult"	"mult"	"4"	"0.1"	"0.08"	"47"	"0.07809"	"0.11186"	"0.08213"	"0.08425"	"0.29389"	"0.10006"	"15.12834"	"-7.54785"
"mult"	"mult"	"4"	"0.1"	"0.08"	"48"	"0.16107"	"0.10079"	"0.09395"	"0.05998"	"0.6407"	"0.0883"	"17.12956"	"-6.52768"
"mult"	"mult"	"4"	"0.1"	"0.08"	"49"	"0.07372"	"0.15278"	"0.14232"	"0.0943"	"0.64639"	"0.1061"	"14.19138"	"-0.70905"
"mult"	"mult"	"4"	"0.1"	"0.08"	"50"	"0.09285"	"0.07758"	"0.08417"	"0.07467"	"0.49262"	"0.08324"	"18.07332"	"-9.11156"
"mult"	"mult"	"4"	"0.1"	"0.08"	"51"	"0.12263"	"0.0521"	"0.11167"	"0.18274"	"0.70365"	"0.09472"	"16.00576"	"-3.85712"
"mult"	"mult"	"4"	"0.1"	"0.08"	"52"	"0.0823"	"0.07208"	"0.15042"	"0.01909"	"0.77307"	"0.04693"	"27.24298"	"-8.55573"
"mult"	"mult"	"4"	"0.1"	"0.08"	"53"	"0.05444"	"0.09338"	"0.15796"	"0.11023"	"0.76144"	"0.06916"	"21.03791"	"-4.68636"
"mult"	"mult"	"4"	"0.1"	"0.08"	"54"	"0.07272"	"0.11117"	"0.14075"	"0.06181"	"0.84178"	"0.04646"	"27.40273"	"-5.06805"
"mult"	"mult"	"4"	"0.1"	"0.08"	"55"	"0.07311"	"0.0804"	"0.1774"	"0.04908"	"0.49755"	"0.07899"	"18.91201"	"-11.75963"
"mult"	"mult"	"4"	"0.1"	"0.08"	"56"	"0.13034"	"0.09508"	"0.12078"	"0.08995"	"0.70091"	"0.08377"	"17.97279"	"-0.8628"
"mult"	"mult"	"4"	"0.1"	"0.08"	"57"	"0.1642"	"0.10989"	"0.06594"	"0.07955"	"0.91299"	"0.03632"	"31.34123"	"-1.53272"
"mult"	"mult"	"4"	"0.1"	"0.08"	"58"	"0.0519"	"0.05226"	"0.13536"	"0.17402"	"0.70287"	"0.08004"	"18.70098"	"-9.06595"
"mult"	"mult"	"4"	"0.1"	"0.08"	"59"	"0.08624"	"0.01978"	"0.13981"	"0.14816"	"0.74237"	"0.06785"	"21.34508"	"-9.37045"
"mult"	"mult"	"4"	"0.1"	"0.08"	"60"	"0.10763"	"0.07383"	"0.0993"	"0.09129"	"0.6879"	"0.06933"	"20.99973"	"-4.2995"
"mult"	"mult"	"4"	"0.1"	"0.08"	"61"	"0.13759"	"0.06626"	"0.12262"	"0.09819"	"0.62672"	"0.08154"	"18.40351"	"-7.25603"
"mult"	"mult"	"4"	"0.1"	"0.08"	"62"	"0.07581"	"0.11482"	"0.084"	"0.12375"	"0.63302"	"0.08025"	"18.65903"	"-1.21175"
"mult"	"mult"	"4"	"0.1"	"0.08"	"63"	"0.10506"	"0.10906"	"0.09799"	"0.08245"	"0.71988"	"0.06006"	"23.29508"	"-4.11882"
"mult"	"mult"	"4"	"0.1"	"0.08"	"64"	"0.10682"	"0.13714"	"0.14311"	"0.03268"	"0.68857"	"0.08634"	"17.48848"	"-4.71789"
"mult"	"mult"	"4"	"0.1"	"0.08"	"65"	"0.09774"	"0.08961"	"0.13431"	"0.10238"	"0.76701"	"0.06796"	"21.31731"	"-7.20564"
"mult"	"mult"	"4"	"0.1"	"0.08"	"66"	"0.12904"	"0.07835"	"0.14497"	"0.07948"	"0.732"	"0.07671"	"19.38001"	"-2.24097"
"mult"	"mult"	"4"	"0.1"	"0.08"	"67"	"0.08142"	"0.1008"	"0.15471"	"0.09414"	"0.72742"	"0.07685"	"19.35183"	"-4.94735"
"mult"	"mult"	"4"	"0.1"	"0.08"	"68"	"0.02774"	"0.1197"	"0.13844"	"0.12051"	"0.78962"	"0.0599"	"23.33923"	"-7.59307"
"mult"	"mult"	"4"	"0.1"	"0.08"	"69"	"0.09008"	"0.11333"	"0.08447"	"0.10814"	"0.71963"	"0.06791"	"21.33077"	"-4.0524"
"mult"	"mult"	"4"	"0.1"	"0.08"	"70"	"0.127"	"0.07088"	"0.0547"	"0.13925"	"0.89855"	"0.03677"	"31.14668"	"-4.60341"
"mult"	"mult"	"4"	"0.1"	"0.08"	"71"	"0.03812"	"0.14122"	"0.17321"	"0.07968"	"0.89632"	"0.04797"	"26.89218"	"-3.58314"
"mult"	"mult"	"4"	"0.1"	"0.08"	"72"	"0.12707"	"0.04661"	"0.13406"	"0.11519"	"0.83023"	"0.05403"	"24.98926"	"-5.12607"
"mult"	"mult"	"4"	"0.1"	"0.08"	"73"	"0.09994"	"0.09347"	"0.09418"	"0.0645"	"0.72564"	"0.05845"	"23.73134"	"-8.62248"
"mult"	"mult"	"4"	"0.1"	"0.08"	"74"	"0.16214"	"0.13244"	"0.0571"	"0.106"	"0.85016"	"0.05818"	"23.80546"	"-4.31027"
"mult"	"mult"	"4"	"0.1"	"0.08"	"75"	"0.14552"	"0.15056"	"0.03203"	"0.03551"	"0.52425"	"0.08571"	"17.60609"	"-10.34399"
"mult"	"mult"	"4"	"0.1"	"0.08"	"76"	"0.08241"	"0.06562"	"0.11021"	"0.12366"	"0.61775"	"0.08082"	"18.54523"	"-4.66923"
"mult"	"mult"	"4"	"0.1"	"0.08"	"77"	"0.14582"	"0.06598"	"0.07179"	"0.07857"	"0.69424"	"0.06715"	"21.51115"	"-5.56738"
"mult"	"mult"	"4"	"0.1"	"0.08"	"78"	"0.12789"	"0.11416"	"0.04172"	"0.11278"	"0.75784"	"0.06009"	"23.28775"	"-9.61563"
"mult"	"mult"	"4"	"0.1"	"0.08"	"79"	"0.15082"	"0.03825"	"0.10747"	"0.12795"	"0.63967"	"0.09052"	"16.73181"	"-4.26124"
"mult"	"mult"	"4"	"0.1"	"0.08"	"80"	"0.12729"	"0.10013"	"0.10614"	"0.08427"	"0.76881"	"0.06129"	"22.97038"	"-2.41296"
"mult"	"mult"	"4"	"0.1"	"0.08"	"81"	"0.0347"	"0.17069"	"0.09088"	"0.12513"	"0.49607"	"0.11721"	"12.59773"	"-7.73276"
"mult"	"mult"	"4"	"0.1"	"0.08"	"82"	"0.07962"	"0.19133"	"0.05723"	"0.13962"	"0.64966"	"0.10205"	"14.81331"	"-4.2992"
"mult"	"mult"	"4"	"0.1"	"0.08"	"83"	"0.06595"	"0.14668"	"0.08368"	"0.12542"	"0.68703"	"0.08037"	"18.6347"	"-4.09914"
"mult"	"mult"	"4"	"0.1"	"0.08"	"84"	"0.08947"	"0.06549"	"0.12153"	"0.11474"	"0.73866"	"0.06403"	"22.2724"	"-2.29551"
"mult"	"mult"	"4"	"0.1"	"0.08"	"85"	"0.14925"	"0.11442"	"0.02926"	"0.11831"	"0.71397"	"0.07397"	"19.96175"	"-12.35922"
"mult"	"mult"	"4"	"0.1"	"0.08"	"86"	"0.10966"	"0.09971"	"0.07088"	"0.10367"	"0.77927"	"0.05624"	"24.34796"	"-1.96143"
"mult"	"mult"	"4"	"0.1"	"0.08"	"87"	"0.08461"	"0.12731"	"0.1475"	"0.0418"	"0.67827"	"0.08066"	"18.5765"	"-6.96538"
"mult"	"mult"	"4"	"0.1"	"0.08"	"88"	"0.10105"	"0.116"	"0.04659"	"0.1728"	"0.70291"	"0.08706"	"17.35482"	"-5.16964"
"mult"	"mult"	"4"	"0.1"	"0.08"	"89"	"0.14255"	"0.12002"	"0.15042"	"0.07685"	"0.73882"	"0.08594"	"17.56326"	"-0.59745"
"mult"	"mult"	"4"	"0.1"	"0.08"	"90"	"0.07421"	"0.0406"	"0.14787"	"0.12644"	"0.6899"	"0.06372"	"22.35019"	"-2.60745"
"mult"	"mult"	"4"	"0.1"	"0.08"	"91"	"0.13651"	"0.04605"	"0.0992"	"0.1444"	"0.87075"	"0.04847"	"26.72679"	"-8.88365"
"mult"	"mult"	"4"	"0.1"	"0.08"	"92"	"0.08517"	"0.09331"	"0.09899"	"0.06841"	"0.2553"	"0.09493"	"15.97039"	"-10.68482"
"mult"	"mult"	"4"	"0.1"	"0.08"	"93"	"0.10282"	"0.14332"	"0.08612"	"0.08604"	"0.85648"	"0.04929"	"26.4566"	"-5.84122"
"mult"	"mult"	"4"	"0.1"	"0.08"	"94"	"0.15625"	"0.09462"	"0.07415"	"0.11909"	"0.57785"	"0.1028"	"14.69722"	"-4.67116"
"mult"	"mult"	"4"	"0.1"	"0.08"	"95"	"0.08891"	"0.12943"	"0.08496"	"0.14045"	"0.67839"	"0.08887"	"17.02578"	"-4.19678"
"mult"	"mult"	"4"	"0.1"	"0.08"	"96"	"0.10865"	"0.16753"	"0.06604"	"0.15722"	"0.80838"	"0.07448"	"19.8524"	"-3.29033"
"mult"	"mult"	"4"	"0.1"	"0.08"	"97"	"0.13388"	"0.13074"	"0.09762"	"0.0485"	"0.71805"	"0.0736"	"20.0429"	"-11.65087"
"mult"	"mult"	"4"	"0.1"	"0.08"	"98"	"0.03592"	"0.10377"	"0.14481"	"0.13121"	"0.52332"	"0.09707"	"15.61436"	"-5.9159"
"mult"	"mult"	"4"	"0.1"	"0.08"	"99"	"0.08826"	"0.08324"	"0.12463"	"0.0639"	"0.49247"	"0.07534"	"19.66785"	"-11.59135"
"mult"	"mult"	"4"	"0.1"	"0.08"	"100"	"0.15799"	"0.09901"	"0.02134"	"0.12673"	"0.84824"	"0.05322"	"25.229"	"-7.17858"
"mult"	"mult"	"4"	"0.3"	"0.02"	"1"	"0.30857"	"0.27497"	"0.30311"	"0.3038"	"0.99806"	"0.01949"	"41.30451"	"-2.54051"
"mult"	"mult"	"4"	"0.3"	"0.02"	"2"	"0.30025"	"0.31028"	"0.29566"	"0.29881"	"0.99872"	"0.01613"	"44.32637"	"-1.43208"
"mult"	"mult"	"4"	"0.3"	"0.02"	"3"	"0.30287"	"0.30364"	"0.30373"	"0.29059"	"0.9985"	"0.01737"	"43.1443"	"-2.07224"
"mult"	"mult"	"4"	"0.3"	"0.02"	"4"	"0.28451"	"0.31091"	"0.30205"	"0.29248"	"0.99676"	"0.02527"	"37.14463"	"-3.02037"
"mult"	"mult"	"4"	"0.3"	"0.02"	"5"	"0.31544"	"0.29171"	"0.30422"	"0.29721"	"0.99833"	"0.01854"	"42.10427"	"-1.86368"
"mult"	"mult"	"4"	"0.3"	"0.02"	"6"	"0.29828"	"0.30126"	"0.31475"	"0.29559"	"0.99765"	"0.02207"	"39.31457"	"-3.70275"
"mult"	"mult"	"4"	"0.3"	"0.02"	"7"	"0.30738"	"0.3062"	"0.28904"	"0.29969"	"0.99728"	"0.02349"	"38.31337"	"-5.06313"
"mult"	"mult"	"4"	"0.3"	"0.02"	"8"	"0.29714"	"0.29954"	"0.29752"	"0.30748"	"0.99853"	"0.01723"	"43.2732"	"-4.63432"
"mult"	"mult"	"4"	"0.3"	"0.02"	"9"	"0.2842"	"0.31363"	"0.30429"	"0.29476"	"0.99798"	"0.02008"	"40.8254"	"-3.25078"
"mult"	"mult"	"4"	"0.3"	"0.02"	"10"	"0.31364"	"0.30676"	"0.30042"	"0.29485"	"0.99736"	"0.02367"	"38.19431"	"-2.36652"
"mult"	"mult"	"4"	"0.3"	"0.02"	"11"	"0.29436"	"0.3143"	"0.29878"	"0.29644"	"0.99769"	"0.02172"	"39.57126"	"-1.46408"
"mult"	"mult"	"4"	"0.3"	"0.02"	"12"	"0.31254"	"0.30736"	"0.28659"	"0.2962"	"0.99809"	"0.01975"	"41.0912"	"-3.65287"
"mult"	"mult"	"4"	"0.3"	"0.02"	"13"	"0.302"	"0.29114"	"0.31196"	"0.29045"	"0.99825"	"0.01878"	"41.90007"	"-2.73511"
"mult"	"mult"	"4"	"0.3"	"0.02"	"14"	"0.29744"	"0.296"	"0.30811"	"0.29923"	"0.99867"	"0.0164"	"44.06624"	"-2.93818"
"mult"	"mult"	"4"	"0.3"	"0.02"	"15"	"0.30582"	"0.28782"	"0.30497"	"0.3043"	"0.99677"	"0.02579"	"36.82408"	"-5.15549"
"mult"	"mult"	"4"	"0.3"	"0.02"	"16"	"0.3029"	"0.30953"	"0.29564"	"0.30319"	"0.99793"	"0.02074"	"40.30868"	"-2.03593"
"mult"	"mult"	"4"	"0.3"	"0.02"	"17"	"0.30167"	"0.30013"	"0.29953"	"0.30142"	"0.9993"	"0.0119"	"49.19426"	"-2.35316"
"mult"	"mult"	"4"	"0.3"	"0.02"	"18"	"0.30401"	"0.29675"	"0.29725"	"0.30157"	"0.99821"	"0.01894"	"41.7594"	"-1.31273"
"mult"	"mult"	"4"	"0.3"	"0.02"	"19"	"0.30041"	"0.28498"	"0.31141"	"0.30688"	"0.99777"	"0.02136"	"39.83532"	"-2.96572"
"mult"	"mult"	"4"	"0.3"	"0.02"	"20"	"0.30247"	"0.28895"	"0.30537"	"0.31161"	"0.99817"	"0.01947"	"41.31956"	"-1.98034"
"mult"	"mult"	"4"	"0.3"	"0.02"	"21"	"0.30071"	"0.3027"	"0.29356"	"0.28722"	"0.99761"	"0.02152"	"39.71682"	"-3.18652"
"mult"	"mult"	"4"	"0.3"	"0.02"	"22"	"0.30449"	"0.29274"	"0.30378"	"0.3019"	"0.99841"	"0.01789"	"42.66987"	"-5.13129"
"mult"	"mult"	"4"	"0.3"	"0.02"	"23"	"0.30024"	"0.3063"	"0.2942"	"0.29984"	"0.99804"	"0.01987"	"40.99107"	"-2.71911"
"mult"	"mult"	"4"	"0.3"	"0.02"	"24"	"0.29867"	"0.28794"	"0.29623"	"0.31589"	"0.99794"	"0.0203"	"40.64992"	"-4.35423"
"mult"	"mult"	"4"	"0.3"	"0.02"	"25"	"0.30641"	"0.28548"	"0.31481"	"0.2966"	"0.99872"	"0.01616"	"44.30176"	"-2.36238"
"mult"	"mult"	"4"	"0.3"	"0.02"	"26"	"0.29033"	"0.30563"	"0.29854"	"0.29518"	"0.99845"	"0.01752"	"43.01052"	"-3.73343"
"mult"	"mult"	"4"	"0.3"	"0.02"	"27"	"0.29859"	"0.30023"	"0.29485"	"0.30841"	"0.99853"	"0.0173"	"43.20716"	"-3.93115"
"mult"	"mult"	"4"	"0.3"	"0.02"	"28"	"0.30352"	"0.30514"	"0.28854"	"0.30407"	"0.99771"	"0.02156"	"39.68829"	"-4.25156"
"mult"	"mult"	"4"	"0.3"	"0.02"	"29"	"0.30903"	"0.28045"	"0.30638"	"0.30748"	"0.99846"	"0.01771"	"42.83743"	"-5.19287"
"mult"	"mult"	"4"	"0.3"	"0.02"	"30"	"0.30074"	"0.29965"	"0.29413"	"0.29399"	"0.99728"	"0.02294"	"38.69773"	"-5.22261"
"mult"	"mult"	"4"	"0.3"	"0.02"	"31"	"0.30918"	"0.28951"	"0.29698"	"0.30877"	"0.99736"	"0.02331"	"38.43849"	"-1.46586"
"mult"	"mult"	"4"	"0.3"	"0.02"	"32"	"0.30059"	"0.30803"	"0.30059"	"0.29445"	"0.99823"	"0.01906"	"41.65897"	"-2.4944"
"mult"	"mult"	"4"	"0.3"	"0.02"	"33"	"0.29204"	"0.29721"	"0.29795"	"0.30562"	"0.99806"	"0.01951"	"41.29002"	"-4.36846"
"mult"	"mult"	"4"	"0.3"	"0.02"	"34"	"0.28979"	"0.31088"	"0.30499"	"0.29736"	"0.99743"	"0.02285"	"38.75644"	"-2.29064"
"mult"	"mult"	"4"	"0.3"	"0.02"	"35"	"0.31109"	"0.28828"	"0.29446"	"0.31411"	"0.99733"	"0.0234"	"38.38002"	"-5.95079"
"mult"	"mult"	"4"	"0.3"	"0.02"	"36"	"0.29315"	"0.31377"	"0.30369"	"0.29959"	"0.9973"	"0.02364"	"38.21178"	"-2.16051"
"mult"	"mult"	"4"	"0.3"	"0.02"	"37"	"0.29689"	"0.30772"	"0.30494"	"0.28732"	"0.99851"	"0.01729"	"43.22065"	"-4.37806"
"mult"	"mult"	"4"	"0.3"	"0.02"	"38"	"0.2945"	"0.30292"	"0.30239"	"0.30116"	"0.99922"	"0.01255"	"48.34754"	"-1.3689"
"mult"	"mult"	"4"	"0.3"	"0.02"	"39"	"0.30779"	"0.28327"	"0.30972"	"0.29431"	"0.99607"	"0.02808"	"35.45996"	"-4.42385"
"mult"	"mult"	"4"	"0.3"	"0.02"	"40"	"0.30241"	"0.29875"	"0.28772"	"0.29987"	"0.99818"	"0.01889"	"41.8015"	"-2.95142"
"mult"	"mult"	"4"	"0.3"	"0.02"	"41"	"0.29511"	"0.30588"	"0.28816"	"0.30841"	"0.99549"	"0.02975"	"34.53495"	"-5.61231"
"mult"	"mult"	"4"	"0.3"	"0.02"	"42"	"0.30853"	"0.29949"	"0.29202"	"0.30339"	"0.99912"	"0.01334"	"47.36854"	"-2.33455"
"mult"	"mult"	"4"	"0.3"	"0.02"	"43"	"0.31031"	"0.30684"	"0.31707"	"0.29048"	"0.99846"	"0.01818"	"42.41341"	"-2.88082"
"mult"	"mult"	"4"	"0.3"	"0.02"	"44"	"0.29656"	"0.29722"	"0.29975"	"0.29735"	"0.99752"	"0.02214"	"39.26428"	"-4.23507"
"mult"	"mult"	"4"	"0.3"	"0.02"	"45"	"0.29286"	"0.28122"	"0.30343"	"0.30009"	"0.99742"	"0.0221"	"39.29454"	"-2.70338"
"mult"	"mult"	"4"	"0.3"	"0.02"	"46"	"0.2983"	"0.3022"	"0.30681"	"0.30056"	"0.99819"	"0.01927"	"41.48751"	"-2.70166"
"mult"	"mult"	"4"	"0.3"	"0.02"	"47"	"0.30927"	"0.29689"	"0.30375"	"0.29998"	"0.99756"	"0.02261"	"38.92485"	"-1.60278"
"mult"	"mult"	"4"	"0.3"	"0.02"	"48"	"0.29577"	"0.3017"	"0.30246"	"0.28695"	"0.99627"	"0.02689"	"36.15343"	"-4.3065"
"mult"	"mult"	"4"	"0.3"	"0.02"	"49"	"0.29797"	"0.29169"	"0.31689"	"0.29476"	"0.99933"	"0.01168"	"49.49944"	"-2.59683"
"mult"	"mult"	"4"	"0.3"	"0.02"	"50"	"0.3058"	"0.29373"	"0.30583"	"0.2952"	"0.99728"	"0.0236"	"38.24294"	"-2.06731"
"mult"	"mult"	"4"	"0.3"	"0.02"	"51"	"0.2926"	"0.29454"	"0.29682"	"0.29796"	"0.99812"	"0.01896"	"41.74376"	"-5.84132"
"mult"	"mult"	"4"	"0.3"	"0.02"	"52"	"0.3014"	"0.29494"	"0.29742"	"0.29948"	"0.99836"	"0.01799"	"42.58627"	"-1.38956"
"mult"	"mult"	"4"	"0.3"	"0.02"	"53"	"0.30117"	"0.30398"	"0.30767"	"0.29581"	"0.99897"	"0.01453"	"46.00119"	"-5.53356"
"mult"	"mult"	"4"	"0.3"	"0.02"	"54"	"0.30603"	"0.29977"	"0.30156"	"0.30097"	"0.99547"	"0.03059"	"34.09104"	"-4.08615"
"mult"	"mult"	"4"	"0.3"	"0.02"	"55"	"0.29163"	"0.30103"	"0.30473"	"0.29959"	"0.99801"	"0.01987"	"40.99462"	"-2.59572"
"mult"	"mult"	"4"	"0.3"	"0.02"	"56"	"0.31114"	"0.29822"	"0.3001"	"0.29638"	"0.99832"	"0.01851"	"42.12721"	"-3.37684"
"mult"	"mult"	"4"	"0.3"	"0.02"	"57"	"0.29572"	"0.28941"	"0.3127"	"0.29505"	"0.99697"	"0.02437"	"37.72687"	"-2.29225"
"mult"	"mult"	"4"	"0.3"	"0.02"	"58"	"0.30278"	"0.28361"	"0.30723"	"0.29335"	"0.99949"	"0.00992"	"52.11101"	"-5.31695"
"mult"	"mult"	"4"	"0.3"	"0.02"	"59"	"0.30516"	"0.30922"	"0.30265"	"0.28564"	"0.99912"	"0.01333"	"47.38179"	"-5.72395"
"mult"	"mult"	"4"	"0.3"	"0.02"	"60"	"0.30897"	"0.28985"	"0.28858"	"0.30416"	"0.99829"	"0.01823"	"42.37374"	"-3.29159"
"mult"	"mult"	"4"	"0.3"	"0.02"	"61"	"0.30399"	"0.29657"	"0.30553"	"0.29242"	"0.99831"	"0.01847"	"42.166"	"-6.39856"
"mult"	"mult"	"4"	"0.3"	"0.02"	"62"	"0.30656"	"0.29786"	"0.29068"	"0.29816"	"0.99865"	"0.01634"	"44.11981"	"-4.75311"
"mult"	"mult"	"4"	"0.3"	"0.02"	"63"	"0.30681"	"0.30852"	"0.3021"	"0.28209"	"0.99744"	"0.02277"	"38.81736"	"-2.5697"
"mult"	"mult"	"4"	"0.3"	"0.02"	"64"	"0.30337"	"0.28804"	"0.29976"	"0.3044"	"0.99805"	"0.01975"	"41.09007"	"-4.64045"
"mult"	"mult"	"4"	"0.3"	"0.02"	"65"	"0.29091"	"0.29357"	"0.29272"	"0.31285"	"0.99874"	"0.01569"	"44.77288"	"-3.65317"
"mult"	"mult"	"4"	"0.3"	"0.02"	"66"	"0.30909"	"0.29085"	"0.29939"	"0.30384"	"0.99852"	"0.01739"	"43.12382"	"-3.12606"
"mult"	"mult"	"4"	"0.3"	"0.02"	"67"	"0.30466"	"0.31444"	"0.29956"	"0.29008"	"0.99858"	"0.01722"	"43.28367"	"-10.66093"
"mult"	"mult"	"4"	"0.3"	"0.02"	"68"	"0.30064"	"0.30816"	"0.29356"	"0.30408"	"0.99881"	"0.01563"	"44.8319"	"-4.42389"
"mult"	"mult"	"4"	"0.3"	"0.02"	"69"	"0.28168"	"0.30292"	"0.29963"	"0.30956"	"0.99846"	"0.01749"	"43.03311"	"-3.47571"
"mult"	"mult"	"4"	"0.3"	"0.02"	"70"	"0.29033"	"0.29418"	"0.30249"	"0.30203"	"0.99924"	"0.01215"	"48.86602"	"-7.34609"
"mult"	"mult"	"4"	"0.3"	"0.02"	"71"	"0.30355"	"0.30459"	"0.29167"	"0.29474"	"0.99708"	"0.02392"	"38.02889"	"-3.58771"
"mult"	"mult"	"4"	"0.3"	"0.02"	"72"	"0.30867"	"0.29124"	"0.30242"	"0.29551"	"0.99783"	"0.02083"	"40.23874"	"-3.93314"
"mult"	"mult"	"4"	"0.3"	"0.02"	"73"	"0.30708"	"0.29963"	"0.30307"	"0.29256"	"0.99849"	"0.01751"	"43.01573"	"-0.75924"
"mult"	"mult"	"4"	"0.3"	"0.02"	"74"	"0.30675"	"0.29618"	"0.29846"	"0.29347"	"0.99877"	"0.01567"	"44.78839"	"-3.55435"
"mult"	"mult"	"4"	"0.3"	"0.02"	"75"	"0.30131"	"0.3055"	"0.30335"	"0.3018"	"0.99685"	"0.02561"	"36.93037"	"-4.96552"
