"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	4	-0.59204778020503	0.119932191970292	-0.720260032240979	2.04355837644946	-0.07734	-0.08185	-1.36057	-1.36129	-16.19535	12.38438	-38.35374	-6.1999	-0.615596295525686	-0.62316	-0.6468	-0.59537	-0.59706	0.99227	0.2626	0.18192	-0.36673	-3.95352546567838	-1.51796	-1.60615	-6.34184	-6.34815	-6.43895	8.14563	-34.1642	-15.08517
"mult"	4	-0.559045186941512	0.075874911271967	-0.707137370613778	2.04355837644946	-0.0721	-0.07948	-1.35012	-1.32686	-13.32831	12.03415	-38.06687	-5.9358	-0.531392194744532	-0.49517	-0.5346	-0.56365	-0.53214	0.97953	0.45483	-5.3111	-1.04021	-3.83950543752629	-1.39537	-1.53758	-6.29795	-6.12712	-5.20941	7.92215	-33.88601	-15.42369
"mult"	4	-0.424878411821555	0.156861173920333	-0.681218481773945	2.04355837644946	-0.14533	-0.13807	-1.2426	-1.19887	-6.77169	9.77017	-35.98272	-5.23807	-0.447911877750921	-0.46372	-0.44641	-0.43675	-0.44476	0.98307	0.45599	-5.33663	-1.65125	-3.93451880196266	-2.44214	-2.32302	-5.5618	-5.41112	-1.2198	5.22157	-29.71738	-12.6823
"mult"	4	-0.424787521234248	0.0576303616981022	-0.66867634090193	2.04355837644946	-0.1372	-0.13353	-1.19407	-1.20991	-6.78124	9.84789	-36.06196	-5.22537	-0.427262589019943	-0.43357	-0.42474	-0.42393	-0.42681	0.99984	0.04532	17.7497	-0.7586	-3.81980406045434	-2.30391	-2.24377	-5.3288	-5.40273	-1.38012	5.44651	-30.13913	-18.63264
"mult"	4	-0.620240151300095	0.207355657126755	-0.730683802816969	2.04355837644946	-0.07293	-0.06374	-1.37068	-1.41539	-17.40823	12.72841	-38.62775	-6.33999	-0.710469092798702	-0.77261	-0.72196	-0.61989	-0.72742	0.86522	1.08913	-14.0432	-1.6766	-3.98090773714935	-1.47281	-1.2875	-6.39449	-6.76883	-7.2282	8.50983	-34.6016	-15.60334
"mult"	4	-0.853131845372263	0.217867310508154	-0.769454358347599	2.04355837644946	-0.01276	-0.01464	-1.51971	-1.53071	-136.57153	14.64903	-40.03313	-9.78784	-0.621770931013434	-0.29136	-0.68204	-0.79689	-0.7168	-1.34974	1.9145	-19.68394	-0.82018	-3.89073383363532	-0.27864	-0.32022	-7.43408	-7.53	-76.86826	11.0211	-37.1875	-17.4636
"mult"	4	-0.391447519243229	0.0510476806084625	-0.655703086605354	2.04355837644946	-0.1445	-0.14962	-1.17181	-1.15688	-5.82887	9.21978	-35.4029	-5.10783	-0.390185237504584	-0.38347	-0.39411	-0.39378	-0.38937	0.99978	0.05185	16.40493	-1.42551	-3.74683159477698	-2.3196	-2.39948	-5.17094	-5.09731	-0.90986	4.87582	-29.03227	-20.99795
"mult"	4	-0.499097326828633	0.222889577271417	-0.696814235367973	2.04355837644946	-0.09373	-0.10195	-1.26148	-1.3301	-10.64056	11.18441	-37.33459	-5.66511	-0.484656575384595	-0.45699	-0.48735	-0.48445	-0.50984	0.98854	0.35086	-2.71582	-1.4037	-3.86493831035276	-1.72144	-1.87046	-5.73994	-6.12791	-3.46172	6.92432	-32.53978	-15.6081
"mult"	4	-0.773905478289816	0.000538088788744062	-0.756891456490237	2.04355837644946	-0.02286	-0.02286	-1.49084	-1.49101	-55.80568	14.15705	-39.69151	-8.21908	-0.773688742055111	-0.77359	-0.77366	-0.77362	-0.77389	1	0.00217	48.13531	-0.57411	-3.86744597210676	-0.49561	-0.49569	-7.23861	-7.23988	-30.00189	10.45854	-36.66357	-42.08924
"mult"	4	-0.536266755557153	0.234552652109414	-0.690777847513124	2.04355837644946	-0.06851	-0.09173	-1.27405	-1.32882	-11.87947	11.87179	-37.93104	-5.75605	-0.495248481181364	-0.42672	-0.53171	-0.52589	-0.49667	0.93638	0.83437	-11.37863	-1.70722	-3.74278253687174	-1.30629	-1.74295	-5.84695	-6.07493	-4.62325	7.84442	-33.78741	-13.00427
"mult"	4	-0.393896763748489	0.198874073685147	-0.663404997318105	2.04355837644946	-0.14881	-0.15161	-1.17726	-1.17594	-5.61687	9.29307	-35.48207	-5.08668	-0.419367886089486	-0.42379	-0.4294	-0.41107	-0.41322	0.98449	0.44986	-5.20111	-2.97173	-3.84417687696288	-2.42893	-2.47275	-5.23555	-5.23948	-0.75874	4.79109	-28.85696	-15.38935
"mult"	4	-0.447145435842685	0.23823585541686	-0.677246335451202	2.04355837644946	-0.13311	-0.12633	-1.21789	-1.23166	-7.58843	10.23436	-36.44689	-5.31953	-0.44375433579896	-0.45609	-0.43679	-0.44673	-0.4354	0.99687	0.19525	3.14517	-4.71662	-3.85649807544715	-2.27814	-2.16315	-5.48066	-5.50404	-1.77982	5.82254	-30.80675	-15.38108
"mult"	4	-0.324928469269071	0.196983337344136	-0.631758490653932	2.04355837644946	-0.17173	-0.18563	-1.09872	-1.07096	-4.03643	7.73126	-33.6421	-4.9157	-0.341102939411677	-0.33427	-0.35301	-0.34529	-0.33184	0.98159	0.46741	-5.58389	-3.11841	-3.63891294724529	-2.50448	-2.69211	-4.76021	-4.59885	-0.00745	3.4578	-25.59572	-15.83325
"mult"	4	-0.784073960455135	0.0996473947889172	-0.753180040003954	2.04355837644946	-0.01905	-0.01554	-1.49975	-1.47838	-61.0647	14.26071	-39.76447	-8.29955	-0.62027500220982	-0.59201	-0.48718	-0.68641	-0.7155	0.1998	1.61926	-18.0091	-1.17967	-3.7962068712115	-0.4138	-0.33735	-7.29139	-7.14228	-33.89914	10.69366	-36.88589	-19.64203
"mult"	4	-0.731040872097947	0.20458385994425	-0.754867816417269	2.04355837644946	-0.03331	-0.03238	-1.47219	-1.48159	-39.56379	13.95668	-39.54897	-7.65378	-0.364358984343473	0	0	-0.66973	-0.78771	-10.03643	7.27993	-33.0406	-0.84968	-3.92148782349358	-0.70995	-0.68989	-7.12381	-7.1623	-20.20722	10.09148	-36.3063	-14.84001
"mult"	4	-0.780215060268529	0.14238130254671	-0.75916363506051	2.04355837644946	-0.01815	-0.03136	-1.48574	-1.50141	-59.10606	14.17943	-39.70731	-8.35803	-0.770110047659584	-0.65935	-0.94764	-0.72537	-0.74808	0.91713	0.52649	-6.77421	-0.3899	-3.89783472626316	-0.39422	-0.68149	-7.19784	-7.31779	-31.59335	10.44153	-36.6473	-17.16466
"mult"	4	-0.434680231672246	0.0686258025816642	-0.671856446797198	2.04355837644946	-0.12991	-0.13642	-1.20865	-1.21244	-7.16486	9.98918	-36.20441	-5.27347	-0.428553422742313	-0.42057	-0.43771	-0.42613	-0.4298	0.99829	0.14435	6.1655	-3.83858	-3.82612325116594	-2.19208	-2.30044	-5.39198	-5.41998	-1.56683	5.60086	-30.41858	-16.95858
"mult"	4	-0.146364851039834	0.200200089020655	-0.466819420878726	2.04355837644946	-0.24121	-0.23924	-0.71286	-0.67396	-1.03951	3.33427	-25.23193	-5.20554	-0.146983384359099	-0.14815	-0.14711	-0.14875	-0.14392	0.99874	0.08299	11.70103	-0.8939	-2.27475307333804	-2.04576	-2.03029	-2.56443	-2.45853	0.8347	0.94925	-12.66852	-6.86316
"mult"	4	-0.159984834014904	0.182049448718317	-0.47626037978096	2.04355837644946	-0.23226	-0.21358	-0.73776	-0.72143	-1.28427	3.69441	-26.2576	-5.37003	-0.154780689007623	-0.15679	-0.1457	-0.1618	-0.15484	0.99507	0.17158	4.43789	-1.20438	-2.34859355594367	-2.08822	-1.92995	-2.73802	-2.63818	0.76075	1.19563	-14.97609	-6.99753
"mult"	4	-0.726798677502666	0.141107009258121	-0.741273426758269	2.04355837644946	-0.04101	-0.02356	-1.44888	-1.45164	-37.02118	13.74756	-39.398	-7.45764	-0.653144802228521	-0.73876	-0.50931	-0.69049	-0.67401	0.918	0.63844	-8.7021	-1.94662	-3.81256599774471	-0.86996	-0.50019	-6.93473	-6.94539	-19.26292	10.03607	-36.25125	-18.44238
"mult"	4	-0.415117497358006	0.246780188346747	-0.665486414929252	2.04355837644946	-0.16103	-0.16515	-1.20283	-1.13294	-6.09245	9.51098	-35.71385	-4.99368	-0.421102124018035	-0.4357	-0.44392	-0.41344	-0.39135	0.99375	0.28226	-0.5401	-0.14161	-3.88107129830755	-2.58662	-2.65081	-5.32109	-4.96576	-0.92525	4.95531	-29.19399	-10.72704
"mult"	4	-0.266627240437083	0.173899223795161	-0.577494619216871	2.04355837644946	-0.21999	-0.17191	-0.95895	-0.95913	-3.10138	6.44206	-31.81787	-4.88072	-0.255655674328282	-0.2786	-0.22679	-0.25927	-0.25796	0.99391	0.24832	0.74115	-2.35571	-3.18281690965859	-2.73552	-2.16353	-3.9207	-3.91151	0.23995	2.77319	-23.38938	-13.23599
"mult"	4	-0.691891528095584	0.0730279886047356	-0.740438118493039	2.04355837644946	-0.04342	-0.04566	-1.43978	-1.43289	-30.0486	13.50213	-39.21786	-7.11645	-0.70137435116521	-0.7015	-0.72326	-0.7048	-0.67594	0.99536	0.16504	4.82646	-2.70289	-3.88958939155249	-0.90773	-0.9545	-6.87775	-6.81838	-14.69255	9.59905	-35.80602	-19.57956
"mult"	4	-0.282806615671143	0.058400669018738	-0.599556913256802	2.04355837644946	-0.1993	-0.20135	-1.00689	-0.99069	-3.18206	6.81045	-32.37396	-4.79424	-0.285194130725488	-0.28647	-0.28891	-0.28479	-0.28062	0.99939	0.08192	11.8307	-0.24673	-3.38555429541105	-2.60182	-2.62746	-4.19181	-4.12113	0.26503	2.85507	-23.68034	-13.02576
"mult"	4	-0.479211219784338	0.199564405193087	-0.692750556843248	2.04355837644946	-0.12613	-0.12579	-1.25205	-1.26703	-7.9421	10.62062	-36.81736	-5.39446	-0.515006503160987	-0.53507	-0.53407	-0.49891	-0.49198	0.96139	0.69791	-9.59266	-1.64293	-3.99205599972488	-2.24605	-2.24011	-5.7177	-5.76436	-1.88436	6.03191	-31.16002	-13.60441
"mult"	4	-0.232433485635556	0.12980703136418	-0.56154758424363	2.04355837644946	-0.21875	-0.20749	-0.89205	-0.9279	-2.34143	5.54229	-30.31347	-4.8494	-0.233139594349178	-0.2372	-0.22684	-0.22897	-0.23956	0.99955	0.06398	14.30304	-2.00058	-3.05699819976701	-2.52774	-2.40409	-3.56573	-3.73043	0.54119	2.0537	-20.38584	-16.21997
"mult"	4	-0.647971812682226	0.175512592832092	-0.725310179610327	2.04355837644946	-0.05126	-0.04971	-1.42523	-1.37503	-21.5701	13.19088	-38.98464	-6.56854	-0.633208184450127	-0.63788	-0.62407	-0.65679	-0.61409	0.9875	0.31043	-1.49144	-1.24609	-3.8208180118902	-1.05502	-1.02313	-6.77116	-6.43396	-10.21963	9.30029	-35.48984	-17.39837
"mult"	4	-0.741351878130808	0.246975814632606	-0.753726672257274	2.04355837644946	-0.01871	-0.02981	-1.46571	-1.50067	-40.56304	13.81407	-39.44626	-7.81327	-0.636207444396339	-0.41181	-0.65202	-0.7112	-0.76981	0.76384	1.04129	-13.59395	-1.07703	-3.86733928782704	-0.40806	-0.64656	-7.06831	-7.34643	-21.16015	10.08682	-36.30168	-14.68285
"mult"	4	-0.105856531532481	0.227810852637049	-0.420388352175582	2.04355837644946	-0.29072	-0.21611	-0.61228	-0.56244	-0.34659	2.08007	-20.51338	-4.82627	-0.111873879569185	-0.12726	-0.09931	-0.11557	-0.10536	0.98092	0.24761	0.76954	-0.66147	-1.86585856268254	-1.97961	-1.51641	-2.07511	-1.89231	0.96067	0.3555	-2.84709	-4.35236
"mult"	4	-0.397514407220297	0.109056205605157	-0.654001458600664	2.04355837644946	-0.14232	-0.14901	-1.16419	-1.16049	-6.01403	9.24102	-35.42591	-5.12576	-0.38470008367299	-0.37487	-0.38874	-0.38619	-0.389	0.99711	0.18744	3.55345	-3.03817	-3.72252243149417	-2.28077	-2.38488	-5.11334	-5.1111	-1.00525	4.94106	-29.16519	-20.95712
"mult"	4	-0.300900103745516	0.0859750784584321	-0.610350637109061	2.04355837644946	-0.18312	-0.20365	-1.03031	-1.02433	-3.7131	7.27151	-33.02903	-4.82285	-0.302806357419819	-0.29364	-0.31963	-0.30066	-0.2973	0.99929	0.08904	10.99676	-1.12614	-3.46851803413942	-2.49146	-2.75651	-4.33193	-4.29418	0.07889	3.2146	-24.8664	-12.76742
"mult"	4	-0.810237859957851	0.143402157234959	-0.762490440781423	2.04355837644946	-0.00571	-0.01661	-1.50018	-1.52747	-90.97803	14.4344	-39.88553	-9.09219	-0.535943505350041	0.04252	-0.67719	-0.7817	-0.7274	-1.58837	2.42142	-22.03292	-0.90063	-3.82331511017576	-0.12369	-0.36365	-7.29178	-7.51414	-51.32242	10.88681	-37.0649	-18.74377
"mult"	4	-0.658437388984021	0.121880756807514	-0.730848102370506	2.04355837644946	-0.04384	-0.04522	-1.41619	-1.41814	-23.68839	13.15768	-38.95944	-6.8093	-0.637430595650613	-0.61456	-0.62686	-0.64602	-0.66227	0.98944	0.27208	-0.17278	-0.48146	-3.82800713909162	-0.91059	-0.93923	-6.71819	-6.74402	-11.34203	9.30307	-35.49283	-15.54721
"add"	4	-0.324139596754685	0.0663874482852407	-0.0593806526645406	5.03598743550576	-0.06419	-0.06414	-0.05528	-0.0539	0.95837	0.06418	14.27131	-1.81997	-0.0166638169562093	-0.01867	-0.01865	-0.01466	-0.01468	0.93042	0.08297	11.7031	-1.77901	-0.331110342601784	-0.36824	-0.36795	-0.29477	-0.29347	0.94117	0.07629	12.5423	-1.80346
"add"	4	-0.739073540922254	0.137031460006256	-0.226071070351495	2.04355837644946	-0.21175	-0.2031	-0.19274	-0.2967	0.56203	0.50273	-6.31246	-4.96553	-0.0377044554763193	-0.0425	-0.04087	-0.02776	-0.03969	0.98929	0.07862	12.24164	-2.12584	-0.71847179720946	-0.79408	-0.7633	-0.53778	-0.77872	0.97757	0.11376	8.54728	-2.22346
"add"	4	-0.900587389944121	0.0572964033926837	-0.256224578671633	2.04355837644946	-0.21017	-0.17968	-0.32359	-0.31146	0.41285	0.68612	-9.42229	-7.03758	-0.0462900573212745	-0.04957	-0.04296	-0.047	-0.04563	0.99819	0.03805	19.49872	-0.66269	-0.866711023708317	-0.90005	-0.77752	-0.9086	-0.88068	0.98194	0.12034	7.98469	-1.53982
"add"	4	-0.194320212886669	0.104132361826487	-0.0748467713219025	2.04355837644946	-0.04548	-0.1044	-0.10638	-0.04313	0.62919	0.16453	4.85711	-1.18118	-0.00891912790976757	-0.00562	-0.01331	-0.01203	-0.00472	0.77459	0.12828	7.34607	-1.6859	-0.178987844390108	-0.11242	-0.26528	-0.24267	-0.09558	0.76236	0.13172	7.08175	-1.62571
"add"	4	-0.545014673878904	0.236447532020975	-0.137150760811182	3.31434478696013	-0.17024	-0.14007	-0.12848	-0.10981	0.93783	0.14219	6.31672	-1.17495	-0.0300623167404735	-0.03948	-0.03336	-0.02618	-0.02123	0.78687	0.26326	0.15665	-1.06633	-0.583131168208485	-0.76032	-0.63894	-0.51332	-0.41994	0.83459	0.23193	1.42402	-1.08802
"add"	4	-0.87025863439776	0.239577125874348	-0.130905595272683	5.93275468884047	-0.14349	-0.10313	-0.18291	-0.0941	0.95591	0.20517	2.65002	-2.63491	-0.0512973565762671	-0.06202	-0.04548	-0.06206	-0.03562	0.82565	0.408	-4.22459	-1.07345	-0.96540070796026	-1.14054	-0.83052	-1.21509	-0.67546	0.88733	0.32799	-2.04164	-1.5337
"add"	4	-0.275308211229276	0.0281897924724035	-0.106052152172175	2.04355837644946	-0.09436	-0.09873	-0.11831	-0.11281	0.86279	0.09971	9.86583	-7.10287	-0.0132985685929935	-0.01297	-0.01354	-0.01358	-0.01311	0.99349	0.02171	25.10832	-2.93422	-0.265141358998738	-0.2562	-0.26759	-0.27326	-0.26352	0.98792	0.02959	22.0138	-3.49169
"add"	4	-0.863467687182128	0.0961028116289526	-0.249476206468629	2.04355837644946	-0.20093	-0.16793	-0.32974	-0.2993	0.51568	0.63106	-8.58581	-4.64107	-0.0449621444032141	-0.04731	-0.04031	-0.04776	-0.04448	0.98885	0.09575	10.27073	-1.21851	-0.84253232896144	-0.85941	-0.72908	-0.9244	-0.85725	0.98671	0.10455	9.39119	-0.43899
"add"	4	-0.321731240605004	0.088984297355637	-0.120141562101905	2.04355837644946	-0.12607	-0.11957	-0.15312	-0.0818	0.87984	0.11455	8.47774	-1.17795	-0.0154367467380248	-0.01752	-0.01662	-0.01765	-0.00995	0.92385	0.09119	10.75866	-0.78051	-0.306832358269369	-0.34563	-0.32792	-0.35496	-0.19882	0.92789	0.08874	11.03086	-0.80836
"add"	4	-0.440762354934122	0.23348613048438	-0.193432000760811	2.04355837644946	-0.15117	-0.0819	-0.19767	-0.34299	-0.06943	0.38749	-3.70879	-4.23797	-0.0271806427167286	-0.02676	-0.01481	-0.0246	-0.04256	0.49049	0.26746	-0.00161	-2.93982	-0.532515844174254	-0.51092	-0.28163	-0.48912	-0.84839	0.45316	0.27709	-0.35516	-3.10568
"add"	4	-0.0941876305034385	0.191239483770914	-0.0266224432116821	2.25486916089614	0.04068	-0.08247	-0.0784	0.0137	0.3733	0.16961	4.55313	-1.36713	-0.00310512182757161	0.00558	-0.01035	-0.00879	0.00114	0.44557	0.15953	5.16583	-1.17439	-0.0631283760862614	0.11129	-0.20857	-0.17933	0.0241	0.43867	0.16052	5.10396	-1.19551
"add"	4	-0.536015301360749	0.10461325768847	-0.195837517712695	2.04355837644946	-0.14984	-0.17313	-0.27029	-0.19009	0.84694	0.22454	1.7477	-4.08995	-0.0294839945501705	-0.02709	-0.03094	-0.03343	-0.02647	0.92846	0.15351	5.55024	-4.67411	-0.572074405680502	-0.51512	-0.58944	-0.6654	-0.51833	0.94905	0.12955	7.24754	-4.88563
"add"	4	-0.63278455134714	0.113360342103988	-0.216219104394917	2.04355837644946	-0.12946	-0.23987	-0.25047	-0.24508	0.84208	0.27408	-0.24618	-6.77268	-0.0344158964082934	-0.02567	-0.04478	-0.03421	-0.03301	0.96024	0.13753	6.64943	-1.93664	-0.661631600955187	-0.48036	-0.8476	-0.6704	-0.64817	0.98395	0.08738	11.18559	-1.00028
"add"	4	-0.394674441439565	0.155430760700256	-0.0495011870158044	7.97476810880316	-0.04688	-0.05646	-0.04624	-0.04843	0.97748	0.06436	14.24283	-3.48539	-0.0219020333682998	-0.02159	-0.02586	-0.01988	-0.02028	0.9516	0.09435	10.41781	-3.41821	-0.430881366472018	-0.41985	-0.50371	-0.39433	-0.40564	0.9649	0.08035	12.02454	-3.50816
"add"	4	-0.759798813133966	0.221106440236326	-0.194868673316736	2.04355837644946	-0.18204	-0.11549	-0.28523	-0.19672	-0.32267	0.82485	-11.2639	-11.36757	-0.0316904925618527	-0.03738	-0.02486	-0.03742	-0.0271	0.68264	0.40404	-4.12709	-3.89649	-0.605530865065696	-0.69666	-0.45918	-0.7371	-0.5292	0.57693	0.4665	-5.5645	-4.5409
"add"	4	-0.966925825073849	0.163550075434614	-0.273360590670705	2.04355837644946	-0.23902	-0.22881	-0.31942	-0.3062	0.55888	0.63178	-8.59717	-4.24037	-0.0495700192036753	-0.05453	-0.05228	-0.04604	-0.04544	0.97416	0.15289	5.59066	-0.83773	-0.928398304126697	-0.99528	-0.95379	-0.89037	-0.87416	0.97878	0.13858	6.57356	-1.09695
"add"	4	-0.579790196742397	0.158677200146485	-0.290825570636962	1.58499815110337	-0.24032	-0.31153	-0.2728	-0.33865	0.80618	0.24936	0.69903	-1.79309	-0.0374433085431569	-0.03708	-0.04657	-0.0289	-0.03721	0.36009	0.4531	-5.2729	-0.33126	-0.72406947942496	-0.70516	-0.8904	-0.56962	-0.7311	0.44959	0.42022	-4.51959	-0.35535
"add"	4	-0.22774754940765	0.205593676539138	-0.0510205578337896	3.74990089927579	-0.05677	-0.03511	-0.03249	-0.07972	0.86061	0.11626	8.3298	-1.19386	-0.0105787652929053	-0.01234	-0.00765	-0.00652	-0.01582	0.84388	0.12304	7.76305	-1.36304	-0.211774356443342	-0.24508	-0.15186	-0.13117	-0.31899	0.84908	0.12097	7.93256	-1.33582
"add"	4	-0.0584578885231167	0.0400929819443263	-0.0219897115745885	2.05302708391362	-0.03021	-0.02577	-0.02626	-0.00573	0.62976	0.03712	19.7453	-2.27974	-0.00231457069589822	-0.00321	-0.00274	-0.00267	-0.00064	0.65514	0.03583	20.10041	-2.16363	-0.0470912747639417	-0.06522	-0.05573	-0.05441	-0.013	0.65298	0.03594	20.0692	-2.17449
"add"	4	-0.856487542542163	0.130204931949265	-0.257616385196053	2.04355837644946	-0.19942	-0.21707	-0.30823	-0.30575	0.5577	0.59719	-8.03414	-6.73111	-0.0468305651834684	-0.04682	-0.05036	-0.04415	-0.04599	0.97745	0.13485	6.84673	-3.43924	-0.876495609172254	-0.85023	-0.91692	-0.85505	-0.88378	0.98985	0.09046	10.83942	-3.28266
"add"	4	-0.231015480065253	0.216417108196765	-0.105385430556199	2.04355837644946	-0.07096	-0.01148	-0.11694	-0.22217	0.36215	0.22523	1.71699	-2.37768	-0.0128841930777566	-0.01005	-0.00242	-0.01413	-0.02493	0.52282	0.19481	3.16805	-1.80812	-0.257401198838497	-0.19784	-0.04563	-0.28275	-0.50339	0.51017	0.19737	3.03722	-1.83411
"add"	4	-0.8138735535671	0.0560943963937461	-0.24514775861285	2.04355837644946	-0.18158	-0.2238	-0.26742	-0.30779	0.6025	0.53538	-6.94154	-9.64573	-0.0427275909811821	-0.0401	-0.04859	-0.03864	-0.04358	0.99404	0.06558	14.05539	-3.57231	-0.806923376853668	-0.73658	-0.89594	-0.74823	-0.84694	0.99647	0.05048	16.6725	-1.08204
"add"	4	-0.154625792556908	0.170039073505905	-0.0423650128714583	2.14659879460901	-0.18739	0.06093	-0.04485	0.00185	0.16655	0.28862	-0.76284	-3.46802	-0.0045322754356775	-0.02096	0.00721	-0.00413	-0.00025	0.27936	0.26837	-0.03563	-3.63922	-0.0925009120290229	-0.42568	0.14557	-0.08584	-0.00405	0.26811	0.27046	-0.11309	-3.63112
"add"	4	-0.0681083157076501	0.155722909956239	-0.0660274136352179	2.26313411431967	-0.15932	-0.07652	-0.04917	0.0209	-1.91049	0.31862	-1.75196	-3.2037	-0.00757654344516762	-0.01759	-0.00879	-0.00564	0.00171	-1.66068	0.30464	-1.30327	-3.24755	-0.154192436727431	-0.35945	-0.1788	-0.11476	0.03624	-1.68292	0.30591	-1.34488	-3.24406
"add"	4	-0.694017508474644	0.127210937731434	-0.212448004623611	2.04355837644946	-0.18447	-0.15363	-0.20877	-0.30292	0.63766	0.42189	-4.55921	-6.81266	-0.0341455485037689	-0.03641	-0.0309	-0.0278	-0.04147	0.98239	0.09301	10.5615	-2.07718	-0.654837312776707	-0.68275	-0.57735	-0.54674	-0.8125	0.97717	0.10591	9.26247	-2.05926
"add"	4	-0.0730735082761385	0.247762503277045	-0.0634529095322322	2.33663429914658	-0.0525	-0.23099	0.02855	0.00113	-0.23777	0.29891	-1.11319	-1.68756	-0.00673913716915575	-0.00418	-0.02549	0.00273	-2e-05	0.09007	0.25628	0.4253	-1.63708	-0.138771667293245	-0.08967	-0.52231	0.057	-0.00011	0.06345	0.26001	0.28111	-1.64227
"add"	4	-0.654964399873279	0.129720994154923	-0.219827177458773	2.04355837644946	-0.15223	-0.24166	-0.22844	-0.25698	0.79382	0.31373	-1.5972	-4.2363	-0.0355713768462295	-0.03009	-0.0459	-0.03171	-0.03459	0.96776	0.12405	7.6811	-1.9674	-0.681857218846662	-0.56331	-0.86614	-0.61923	-0.67876	0.9886	0.07376	12.88036	-1.17304
"add"	4	-0.605180899624247	0.191563658241648	-0.22552597964175	2.04355837644946	-0.19814	-0.25559	-0.23056	-0.21782	0.7498	0.31886	-1.75922	-2.02698	-0.0347972283319048	-0.03486	-0.04492	-0.02915	-0.03025	0.85847	0.23981	1.08962	-1.24344	-0.672683223606878	-0.6649	-0.85737	-0.5777	-0.59077	0.87438	0.22593	1.68579	-1.26982
"add"	4	-0.909879450290464	0.070183627482038	-0.262108465236081	2.04355837644946	-0.21178	-0.19744	-0.32293	-0.31628	0.49052	0.65285	-8.92528	-6.71712	-0.0478142852781966	-0.05018	-0.04715	-0.04877	-0.04515	0.98881	0.09677	10.16454	-5.72743	-0.893746380512428	-0.91	-0.85352	-0.93658	-0.87489	0.98913	0.09534	10.3132	-5.7083
"add"	4	-0.709259443555493	0.0906264259247109	-0.216620711765804	2.04355837644946	-0.18718	-0.17719	-0.25689	-0.24522	0.46858	0.53144	-6.86783	-7.26186	-0.0354072213311954	-0.03755	-0.03561	-0.03447	-0.034	0.97161	0.12284	7.77931	-5.36988	-0.676978927181957	-0.70201	-0.66538	-0.67655	-0.66398	0.94484	0.17123	4.45834	-5.77719
"add"	4	-0.384309635357931	0.0570405543548986	-0.131898193973819	2.04355837644946	-0.07703	-0.1178	-0.14457	-0.1882	0.53548	0.25483	0.48221	-6.93494	-0.0177627476004723	-0.01234	-0.01851	-0.01763	-0.02258	0.91574	0.10853	9.0176	-2.30983	-0.350543023790399	-0.23898	-0.35943	-0.35195	-0.45181	0.88607	0.1262	7.5094	-2.84855
"add"	4	-0.826388565986417	0.166484075889457	-0.0850245319102483	8.72331326873638	-0.10103	-0.06284	-0.10063	-0.0756	0.98051	0.11607	8.3463	-1.12249	-0.0459074298581879	-0.05807	-0.03781	-0.04966	-0.03809	0.87703	0.29157	-0.86473	-3.72294	-0.865406273784309	-1.07454	-0.68746	-0.96507	-0.73455	0.93616	0.21008	2.41343	-2.35314
"add"	4	-0.075855829298962	0.153337070369162	0.00244341483359239	5.00326069125123	0.06021	-0.04739	-0.01563	0.01259	-0.922	0.33389	-2.22004	-2.25262	0.000898434914296226	0.01689	-0.0126	-0.00383	0.00313	-0.99173	0.3399	-2.39823	-2.29653	0.016965627949938	0.33545	-0.25315	-0.07824	0.0638	-0.97543	0.3385	-2.35715	-2.28742
"add"	4	-0.655691221542656	0.0817412870237604	-0.207987168979038	2.04355837644946	-0.17571	-0.17722	-0.26563	-0.21339	0.60045	0.42634	-4.6642	-8.32129	-0.0332469098232023	-0.0341	-0.03438	-0.03587	-0.02864	0.99436	0.05067	16.63429	-5.36653	-0.638399561223624	-0.64111	-0.64637	-0.70389	-0.56222	0.98151	0.09171	10.70133	-2.58148
"add"	4	-0.140250227355864	0.181433035468217	-0.0238434453771754	2.04355837644946	-0.09393	0.07162	-0.06392	-0.00915	-1.46684	0.33136	-2.14403	-3.10733	-0.00228457412262728	-0.01142	0.00968	-0.007	-4e-04	-1.43755	0.32939	-2.0843	-2.84305	-0.0470727853212754	-0.22888	0.19174	-0.14175	-0.0094	-1.43848	0.32945	-2.08621	-2.86879
"add"	4	-0.989742360485252	0.0751057378365658	-0.284487324475469	2.04355837644946	-0.23051	-0.23678	-0.33492	-0.33575	0.59795	0.64013	-8.72858	-5.05389	-0.0545521376380626	-0.05744	-0.05879	-0.05168	-0.0503	0.9538	0.217	2.08907	-2.17142	-1.00912678140665	-1.0303	-1.05542	-0.98621	-0.96459	0.9906	0.09789	10.04962	-1.24217
