"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	0.477473899151664	0.0749319911119528	0.253568573212019	1.46676656252636	0.24662	0.26763	0.2945	0.20552	0.55249	0.11751	12.55603	-4.76797	0.187195229586991	0.18398	0.19616	0.21475	0.1539	-1.99942	0.30424	-2.66384	-26.02221	0.250971255691034	0.24523	0.2639	0.29048	0.20428	-0.68991	0.22836	1.92612	-17.09751
"stick"	4	0.194557569047902	0.0835504825226963	0.283477721082254	0.778449861353593	0.33983	0.25832	0.29432	0.24143	0.74059	0.0727	20.23943	-6.55594	0.125154055502038	0.17598	0.09555	0.12067	0.10841	0.18782	0.12864	11.10893	-15.19637	0.148763974833928	0.20401	0.11867	0.14526	0.12711	0.44438	0.1064	14.14609	-11.93498
"stick"	4	0.129389491560869	0.223629925283603	0.0204756601715002	6.13208077957123	0.0369	0.00357	0.0355	0.00593	0.51832	0.15156	8.4858	-9.72287	0.115837861055492	0.20603	0.0044	0.21494	0.03797	0.49433	0.15528	8.09698	-12.40341	0.1236900827801	0.22247	0.01894	0.21681	0.03654	0.51779	0.15164	8.47706	-10.09834
"stick"	4	0.338188810076099	0.13223163766088	0.25553101487851	1.20816852105614	0.24399	0.21344	0.29087	0.27383	0.47406	0.13781	10.0065	-4.20151	0.158270995765508	0.14752	0.15334	0.16907	0.16315	-0.38414	0.22357	2.26536	-11.25147	0.204455912195307	0.19054	0.19176	0.22326	0.21226	0.09881	0.1804	5.69828	-7.70535
"stick"	4	0.154923752159812	0.0472659506485797	0.221965279075379	0.765066688512834	0.24419	0.25445	0.15328	0.23593	0.89911	0.03831	30.49099	-4.03862	0.10936170220743	0.1226	0.12453	0.06991	0.12041	0.62632	0.07372	20.01617	-15.29627	0.126343530709619	0.14088	0.14418	0.08267	0.13764	0.76728	0.05818	23.80466	-11.43218
"stick"	4	0.180873941548634	0.135740914614871	0.176605219525021	0.882728145735526	0.23417	0.37467	0.03882	0.05876	0.32371	0.14108	9.63222	-11.2733	0.110843349483922	0.11385	0.21566	0.04371	0.07016	0.09479	0.16322	7.29987	-12.74706	0.127123709089629	0.13505	0.24938	0.04943	0.07463	0.23211	0.15033	8.61607	-12.03304
"stick"	4	0.247181327547878	0.146689494606107	0.28423403717111	0.982847781959704	0.16267	0.34961	0.31967	0.30499	0.61176	0.12475	11.60053	-6.23015	0.157214820471219	0.11737	0.19816	0.154	0.15934	0.81112	0.08701	17.36484	-5.84408	0.192632547456577	0.13802	0.23969	0.19732	0.19551	0.84165	0.07967	18.77503	-4.29896
"stick"	4	0.101315676071681	0.0728221983881667	0.0117714170169609	7.57931754322363	0.01898	0.01187	0.00677	0.00946	0.58991	0.0708	20.66377	-7.94194	0.0794081681396394	0.13237	0.08353	0.03611	0.06563	0.57054	0.07245	20.29458	-9.95968	0.0878422215655367	0.14227	0.0891	0.04915	0.07085	0.58956	0.07083	20.65703	-8.18402
"stick"	4	0.276897077821195	0.147561453515664	0.182953377542519	1.50624400046778	0.23544	0.17128	0.12781	0.19729	0.7468	0.10491	14.37184	-5.73182	0.167230677273024	0.21533	0.18	0.10311	0.17048	0.38583	0.16339	7.28303	-11.2787	0.211713076273742	0.27349	0.21619	0.13631	0.22086	0.63182	0.1265	11.37663	-7.65024
"stick"	4	0.0914461221313104	0.0744303172104992	0.19139646610262	0.497606309379434	0.22384	0.3015	0.01878	0.22146	0.49655	0.05756	23.9772	-3.56599	0.0636401506649087	0.06293	0.10466	0.01634	0.07063	0.21662	0.07179	20.44012	-7.88454	0.0701836958854685	0.07212	0.11464	0.01555	0.07842	0.32418	0.06668	21.62168	-6.74459
"stick"	4	0.237987303244881	0.232820609875489	0.105324661089465	2.32287172014862	0.09639	0.12231	0.09133	0.11126	0.2409	0.23172	1.69226	-10.85967	0.162015245087062	0.15839	0.18062	0.13719	0.17186	0.10561	0.25153	0.38015	-14.94196	0.207868990969529	0.19549	0.23713	0.17975	0.2191	0.21696	0.23535	1.4438	-12.24564
"stick"	4	0.473706271394622	0.0258915345184505	0.458671476781132	1.02481868027887	0.45926	0.44548	0.4664	0.46354	0.98326	0.02183	39.4902	-1.43242	0.184103624881104	0.18407	0.18142	0.18702	0.1839	-1.8311	0.28384	-1.55373	-47.68609	0.24348693327492	0.24419	0.23887	0.24723	0.24366	-0.5702	0.21139	3.162	-41.79008
"stick"	4	0.20786508473102	0.114664458204061	0.164233129788419	1.2273234840327	0.16258	0.21023	0.11071	0.17341	0.58717	0.1176	12.54438	-6.5527	0.131297497345906	0.13098	0.16484	0.11825	0.11112	0.32261	0.15064	8.58281	-12.87929	0.158039643919201	0.156	0.19863	0.1306	0.14693	0.48782	0.13099	10.81926	-9.2989
"stick"	4	0.241541493486147	0.160107911622617	0.363849150060446	0.778205200915985	0.44269	0.35309	0.27702	0.38259	0.71267	0.09641	15.72296	-7.65303	0.144598855673634	0.17874	0.10635	0.11899	0.17433	0.06669	0.17376	6.2981	-18.50592	0.174851713932466	0.21494	0.14016	0.14074	0.20356	0.35027	0.14498	9.19563	-16.33731
"stick"	4	0.389040729694534	0.208743764553219	0.29832904391119	1.10426020877617	0.28265	0.22992	0.36247	0.31827	0.27002	0.20431	3.70723	-11.41642	0.156645854569664	0.20861	0.08022	0.15044	0.18732	-0.69424	0.31125	-3.02855	-15.26533	0.199523845412506	0.2552	0.1094	0.20275	0.23075	-0.26611	0.26907	-0.6983	-12.92847
"stick"	4	0.487227836577222	0.154170636669733	0.389633282951461	1.03839331260735	0.5152	0.45208	0.40618	0.18507	0.56965	0.13836	9.94282	-6.48047	0.176190213497044	0.20138	0.19768	0.16917	0.13654	-1.16321	0.31022	-2.97519	-25.0013	0.229655844250034	0.27014	0.25939	0.21904	0.17005	-0.40278	0.24981	0.48991	-16.51312
"stick"	4	0.32702500699088	0.0539803662104532	0.319878355395613	1.02990306974421	0.32995	0.29231	0.35117	0.30608	0.8688	0.05872	23.65601	-4.13023	0.162664827212353	0.18494	0.13966	0.17325	0.1528	-0.3157	0.18596	5.21254	-21.52987	0.207182613286383	0.23263	0.17929	0.22234	0.19447	0.29786	0.13585	10.23649	-15.19745
"stick"	4	0.483864506252576	0.18219914130168	0.229344870203197	1.68581907940646	0.32535	0.11047	0.25772	0.22385	0.63088	0.18842	5.00246	-6.91514	0.205365048887991	0.29413	0.10529	0.1993	0.22274	0.15642	0.28484	-1.60979	-11.9322	0.274222555825619	0.39606	0.13268	0.28242	0.28574	0.46397	0.22706	2.0179	-8.9652
"stick"	4	0.486612991185393	0.0939506413997151	0.392736797621951	1.12383240027952	0.41651	0.44167	0.30903	0.40373	0.85813	0.07074	20.67697	-1.66381	0.188970173708157	0.19668	0.21541	0.16004	0.18375	-1.03937	0.2682	-0.64691	-26.64797	0.251020021537007	0.26372	0.28614	0.20623	0.24799	-0.08459	0.19559	4.40461	-18.72558
"stick"	4	0.488683299475815	0.0708850352675654	0.494738901392041	1.00382404365085	0.47806	0.55057	0.39379	0.55653	0.84859	0.06186	22.82353	-2.9332	0.178914537308798	0.15637	0.22541	0.13709	0.1968	-3.14148	0.32352	-3.64722	-33.18214	0.236301575157094	0.20658	0.29769	0.17894	0.26199	-1.55027	0.25387	0.23161	-27.55763
"stick"	4	0.183895907027181	0.221187574788928	0.102720863731966	1.30291310482194	0.21304	0.14419	-0.01435	0.068	-0.06587	0.18329	5.44361	-12.33402	0.100327523982886	0.18355	0.11905	0.01593	0.08278	-0.35178	0.20642	3.54254	-11.32114	0.116308919253434	0.22135	0.1444	0.0081	0.09139	-0.17601	0.19253	4.65693	-11.16624
"stick"	4	0.273633358767256	0.200101232388988	0.217634221102539	1.06402261454841	0.30105	0.11891	0.41307	0.03751	0.44619	0.14195	9.53352	-6.9924	0.13743246867768	0.16051	0.10112	0.24545	0.04265	-0.21439	0.2102	3.25213	-12.7454	0.167851382675795	0.20171	0.11702	0.30438	0.0483	0.11442	0.1795	5.77812	-9.38927
"stick"	4	0.128445005510002	0.0328412726521492	0.130156833548867	1.00252216618451	0.1625	0.11191	0.12531	0.1209	0.93935	0.02493	37.36611	-3.4243	0.0964136430845021	0.12023	0.08423	0.09291	0.08829	0.80823	0.04432	28.15666	-11.55118	0.109718775666808	0.13699	0.09547	0.10561	0.1008	0.89387	0.03297	32.88957	-7.3764
"stick"	4	0.290920733043458	0.00365082186181098	0.291807334150925	0.9957521257507	0.29174	0.29167	0.29697	0.28685	0.99971	0.00255	73.85215	-2.89395	0.154618714684729	0.15499	0.15382	0.15817	0.1515	0.12263	0.14073	9.67172	-46.92508	0.193247774943608	0.19359	0.19248	0.1975	0.18943	0.59892	0.09515	15.9338	-74.31521
"stick"	4	0.215511580149177	0.0145021863863803	0.21780813208213	0.998235881067746	0.21772	0.23094	0.21491	0.20766	0.99253	0.01155	49.67208	-5.25742	0.133802803088208	0.13338	0.14306	0.13464	0.12413	0.55982	0.08868	17.0603	-41.18157	0.161331866926748	0.16104	0.17218	0.16126	0.15085	0.81627	0.05729	24.05028	-29.80004
"stick"	4	0.488783193740528	0.156452411727514	0.267459531957681	1.35963009522006	0.35672	0.26057	0.14611	0.30644	0.43123	0.17263	6.40229	-5.74245	0.182704091506202	0.23267	0.1708	0.16447	0.16287	-0.80261	0.30733	-2.82584	-17.31311	0.241107234876037	0.31043	0.22423	0.19843	0.23134	-0.14096	0.24451	0.8331	-13.57459
"stick"	4	0.283206948963925	0.110674086608924	0.328005926937165	0.855533627942606	0.2922	0.46888	0.23325	0.31769	0.46203	0.1346	10.38425	-6.27511	0.14063071196294	0.09492	0.2041	0.10928	0.15422	-0.22639	0.20323	3.79204	-14.47098	0.172298249408158	0.12597	0.25043	0.12892	0.18387	0.08103	0.17592	6.10069	-11.84848
"stick"	4	0.268938685394824	0.198413186415564	0.163068898120681	1.35603614721732	0.25208	0.06573	0.14755	0.18691	0.49172	0.14838	8.82481	-7.69497	0.141774822458739	0.22496	0.05117	0.1379	0.15308	0.27792	0.17685	6.01597	-9.50863	0.17386653524331	0.27376	0.06371	0.16545	0.19255	0.42112	0.15835	7.7843	-8.25898
"stick"	4	0.0979807026684284	0.205105259956326	0.050687061393191	0.647153113151186	-0.14006	-0.08712	0.43391	-0.00398	-0.74384	0.17178	6.48177	-15.64384	0.047416408851287	-0.02165	-0.00942	0.19526	0.02547	-0.18204	0.14143	9.59254	-11.90648	0.0479009532718889	-0.03239	-0.01605	0.21627	0.02377	-0.17495	0.141	9.6407	-12.67414
"stick"	4	0.346577988844365	0.103455481759738	0.173867228375222	1.70894301851073	0.18953	0.17739	0.1941	0.13446	0.88643	0.07194	20.40868	-4.12792	0.181880825525787	0.18505	0.19265	0.20749	0.14233	0.5339	0.14573	9.11272	-14.74051	0.233784259826843	0.24623	0.24266	0.26399	0.18226	0.79212	0.09733	15.57217	-8.09164
"stick"	4	0.23063524113968	0.212757363042329	0.205808278581397	1.17901476892032	0.12646	0.27399	0.10054	0.32225	0.57822	0.14109	9.63024	-6.16662	0.147587828443033	0.05856	0.18587	0.11106	0.23486	0.21489	0.1925	4.65955	-11.50809	0.180239489224667	0.08022	0.23053	0.12516	0.28505	0.4199	0.16547	7.08056	-9.2202
"stick"	4	0.320587806357071	0.216088019777089	0.173000892815618	1.27352398829206	0.36594	0.09926	0.22265	0.00415	-0.12373	0.24868	0.5622	-11.5783	0.136549735768883	0.24003	0.11993	0.09753	0.08871	-0.69658	0.30556	-2.7335	-14.21874	0.169801951140494	0.31027	0.13933	0.1407	0.0889	-0.34251	0.27182	-0.86091	-13.50673
"stick"	4	0.216117744508665	0.137868808000349	0.232990711008277	1.05269238464127	0.35995	0.16152	0.21068	0.19981	0.25896	0.16031	7.58752	-8.18738	0.133586301324952	0.21764	0.089	0.15215	0.07555	-0.34645	0.21609	2.81014	-13.59403	0.165124125599954	0.26783	0.10786	0.17921	0.1056	-0.03625	0.18957	4.90505	-11.21907
"stick"	4	0.0523524148622528	0.177004420605954	0.0231807043384347	0.619710226380511	-0.08198	-0.05567	-0.0562	0.28657	-0.97808	0.16629	7.00088	-29.71046	0.0271835570696487	-0.00547	0.00718	0.01044	0.09658	-0.34787	0.13727	10.06972	-21.72191	0.027033174165936	-0.01131	0.00213	0.00469	0.11263	-0.36793	0.13829	9.95155	-25.81266
"stick"	4	0.259695136721712	0.12621553230565	0.276696042999603	0.914730513677954	0.22772	0.22537	0.38265	0.27105	0.4617	0.14277	9.44132	-10.49834	0.136526104542577	0.06375	0.13423	0.20134	0.14679	-0.11204	0.2052	3.637	-14.82742	0.165043836756188	0.08639	0.16193	0.24071	0.17115	0.13668	0.18081	5.66232	-12.9672
"stick"	4	0.125260099081788	0.0318956490373239	0.206663912165508	0.650935377146467	0.25615	0.17633	0.16975	0.22442	0.88106	0.03149	33.62404	-3.21196	0.0887118361502133	0.11732	0.07487	0.06339	0.09927	0.59287	0.05827	23.77989	-13.12114	0.100246113167971	0.13057	0.0846	0.07449	0.11133	0.72714	0.0477	26.9812	-9.80095
"stick"	4	0.139260095858481	0.178792479680851	0.253505579549362	1.03038566412412	0.17243	0.10563	0.26675	0.46921	0.37569	0.23586	1.40954	-9.85389	0.164770734578509	0.08661	0.11224	0.07294	0.38729	0.5595	0.19812	4.1994	-8.3241	0.191907471723703	0.10642	0.12195	0.12499	0.41426	0.56323	0.19728	4.26748	-8.81012
"stick"	4	0.17445085698273	0.0107555174035951	0.178476800256105	0.969599731875908	0.17858	0.17495	0.18012	0.18026	0.99534	0.00771	56.13629	-1.39619	0.115207377202653	0.11485	0.11321	0.11578	0.11699	0.70162	0.06169	22.8677	-33.90743	0.135322625891051	0.13506	0.13282	0.13627	0.13714	0.88076	0.039	30.20523	-25.86902
"stick"	4	0.326692963344976	0.135170385998208	0.101250691492554	2.78116020871784	0.10977	0.122	0.09551	0.07772	0.74581	0.12535	11.52363	-1.38366	0.188939029979436	0.20887	0.22944	0.17616	0.14129	0.72074	0.13138	10.77113	-5.35487	0.245076532613686	0.26812	0.29665	0.22927	0.18626	0.77758	0.11725	12.59164	-2.54111
"stick"	4	0.27929444409674	0.101382918364834	0.215206953307083	1.12194799343165	0.27381	0.21245	0.21222	0.16235	0.7265	0.08655	17.44876	-3.33284	0.141729625604851	0.18154	0.12606	0.14678	0.11254	0.26577	0.14182	9.54855	-10.37686	0.174845558274081	0.22418	0.16176	0.17801	0.13543	0.53871	0.11241	13.26686	-6.20438
"stick"	4	0.12848285472719	0.21875300584361	-0.0247367739519871	0.706401859829999	0.0229	0.24661	-0.59903	0.23057	-0.7973	0.30673	-2.79459	-14.29944	0.0150618949327193	-0.01974	0.1241	-0.14388	0.09977	-0.31254	0.26212	-0.28001	-11.03754	0.0121586532098623	-0.00934	0.13476	-0.18918	0.1124	-0.32913	0.26378	-0.38051	-11.632
"stick"	4	0.488874237553682	0.135817650705576	0.289052099213524	1.43212023719934	0.41024	0.12551	0.47577	0.14469	0.24129	0.22763	1.97777	-9.02847	0.198296814415182	0.22386	0.17984	0.27582	0.11367	-0.80631	0.35122	-4.96164	-14.56713	0.269247928736545	0.31677	0.2234	0.3916	0.14522	-0.11441	0.27587	-1.09795	-13.19592
"stick"	4	0.393682579055894	0.0438993349089287	0.303755363839607	1.18194563914534	0.3491	0.29997	0.28266	0.2833	0.95842	0.03534	31.78006	-2.41904	0.177602798637047	0.20193	0.18101	0.1682	0.15927	-0.25855	0.19445	4.49854	-25.22769	0.231181085218405	0.26526	0.23343	0.21736	0.20867	0.42641	0.13127	10.78494	-21.39179
